year_month,count
2011-12-01,5631
2012-01-01,203
2012-02-01,187
2012-03-01,166
2012-04-01,166
2012-05-01,181
2012-06-01,199
2012-07-01,128
2012-08-01,56
2012-09-01,54
2012-10-01,51
2012-11-01,28
2012-12-01,26
2013-01-01,15
2013-02-01,199
2013-03-01,319
2013-04-01,285
2013-05-01,407
2013-06-01,506
2013-07-01,339
2013-08-01,600
2013-09-01,466
2013-10-01,328
2013-11-01,505
2013-12-01,314
2014-01-01,308
2014-02-01,569
2014-03-01,485
2014-04-01,427
2014-05-01,476
2014-06-01,318
2014-07-01,345
2014-08-01,372
2014-09-01,454
2014-10-01,446
2014-11-01,1244
2014-12-01,419
2015-01-01,331
2015-02-01,298
2015-03-01,478
2015-04-01,387
2015-05-01,354
2015-06-01,297
2015-07-01,291
2015-08-01,259
2015-09-01,304
2015-10-01,297
2015-11-01,254
2015-12-01,253
2016-01-01,289
2016-02-01,256
2016-03-01,239
2016-04-01,204
2016-05-01,223
2016-06-01,245
2016-07-01,187
2016-08-01,208
2016-09-01,224
2016-10-01,228
2016-11-01,255
2016-12-01,200
2017-01-01,181
2017-02-01,199
2017-03-01,253
2017-04-01,169
2017-05-01,182
2017-06-01,191
2017-07-01,205
2017-08-01,191
2017-09-01,226
2017-10-01,173
2017-11-01,147
2017-12-01,134
2018-01-01,161
2018-02-01,149
2018-03-01,115
2018-04-01,123
2018-05-01,116
2018-06-01,113
2018-07-01,114
2018-08-01,103
2018-09-01,83
2018-10-01,220
2018-11-01,94
2018-12-01,90
2019-01-01,89
2019-02-01,94
2019-03-01,118
2019-04-01,109
2019-05-01,119
2019-06-01,138
2019-07-01,121
2019-08-01,149
2019-09-01,167
2019-10-01,183
2019-11-01,167
2019-12-01,157
2020-01-01,170
2020-02-01,183
2020-03-01,219
2020-04-01,168
2020-05-01,168
2020-06-01,159
2020-07-01,174
2020-08-01,187
2020-09-01,189
2020-10-01,190
2020-11-01,159
2020-12-01,183
2021-01-01,174
2021-02-01,170
2021-03-01,572
2021-04-01,210
2021-05-01,168
2021-06-01,165
2021-07-01,73
2021-08-01,77
2021-09-01,34
2021-10-01,66
2021-11-01,35
2021-12-01,25
2022-01-01,32
2022-02-01,23
2022-03-01,22
2022-04-01,17
2022-05-01,25
2022-06-01,22
2022-07-01,25
2022-08-01,17
2022-09-01,20
2022-10-01,25
2022-11-01,15
2022-12-01,28
2023-01-01,18
2023-02-01,19
2023-03-01,30
2023-04-01,19
2023-05-01,23
2023-06-01,13
