year_month,count
2014-12,32
2015-01,47
2015-02,33
2015-03,130
2015-04,174
2015-05,61
2015-06,75
2015-07,107
2015-08,71
2015-09,100
2015-10,73
2015-11,5
2015-12,1
2016-01,115
2016-02,145
2016-03,238
2016-04,226
2016-05,293
2016-06,301
2016-07,157
2016-08,202
2016-09,214
2016-10,196
2016-11,274
2016-12,184
2017-01,451
2017-02,510
2017-03,556
2017-04,120
2017-05,282
2017-06,531
2017-07,459
2017-08,599
2017-09,768
2017-10,594
2017-11,458
2017-12,494
2018-01,511
2018-02,348
2018-03,162
2018-04,339
2018-05,192
2018-06,211
2018-07,142
2018-08,182
2018-09,143
2018-10,153
2018-11,163
2018-12,145
2019-01,233
2019-02,259
2019-03,359
2019-04,502
2019-05,435
2019-06,416
2019-07,378
2019-08,311
2019-09,291
2019-10,534
2019-11,367
2019-12,284
2020-01,352
2020-02,457
2020-03,504
2020-04,382
2020-05,304
2020-06,228
2020-07,425
2020-08,253
2020-09,494
2020-10,393
2020-11,353
2020-12,347
2021-01,321
2021-02,298
2021-03,305
2021-04,306
2021-05,253
2021-06,214
2021-07,352
2021-08,400
2021-09,727
2021-10,273
2021-11,510
2021-12,397
2022-01,481
2022-02,401
2022-03,426
2022-04,365
2022-05,413
2022-06,502
2022-07,503
2022-08,351
2022-09,372
2022-10,341
2022-11,496
2022-12,387
2023-01,787
2023-02,631
2023-03,826
2023-04,695
2023-05,666
2023-06,670
2023-07,224
