year_month,count
2015-01-01,1
2015-03-01,80
2015-04-01,306
2015-05-01,64
2015-06-01,73
2015-07-01,83
2015-08-01,96
2015-09-01,96
2015-10-01,158
2015-11-01,77
2015-12-01,57
2016-01-01,104
2016-02-01,106
2016-03-01,78
2016-04-01,54
2016-05-01,85
2016-06-01,67
2016-07-01,74
2016-08-01,74
2016-09-01,61
2016-10-01,114
2016-11-01,84
2016-12-01,85
2017-01-01,74
2017-02-01,89
2017-03-01,154
2017-04-01,95
2017-05-01,112
2017-06-01,106
2017-07-01,111
2017-08-01,77
2017-09-01,90
2017-10-01,119
2017-11-01,131
2017-12-01,102
2018-01-01,107
2018-02-01,45
2018-03-01,86
2018-04-01,90
2018-05-01,77
2018-06-01,74
2018-07-01,124
2018-08-01,75
2018-09-01,85
2018-10-01,76
2018-11-01,127
2018-12-01,79
2019-01-01,99
2019-02-01,92
2019-03-01,125
2019-04-01,112
2019-05-01,105
2019-06-01,94
2019-07-01,131
2019-08-01,102
2019-09-01,116
2019-10-01,108
2019-11-01,92
2019-12-01,102
2020-01-01,85
2020-02-01,80
2020-03-01,95
2020-04-01,81
2020-05-01,89
2020-06-01,93
2020-07-01,72
2020-08-01,55
2020-09-01,83
2020-10-01,62
2020-11-01,74
2020-12-01,87
2021-01-01,87
2021-02-01,84
2021-03-01,105
2021-04-01,105
2021-05-01,71
2021-06-01,94
2021-07-01,87
2021-08-01,122
2021-09-01,75
2021-10-01,108
2021-11-01,103
2021-12-01,84
2022-01-01,103
2022-02-01,98
2022-03-01,106
2022-04-01,124
2022-05-01,201
2022-06-01,344
2022-07-01,148
2022-08-01,122
2022-09-01,107
2022-10-01,115
2022-11-01,113
2022-12-01,81
2023-01-01,90
2023-02-01,165
2023-03-01,140
2023-04-01,135
2023-05-01,136
2023-06-01,278
