year_month,count
2001-09,29
2001-10,15
2001-11,14
2001-12,8
2002-01,27
2002-02,45
2002-03,6
2002-04,17
2002-05,63
2002-06,56
2002-07,37
2002-08,13
2002-09,52
2002-10,39
2002-11,23
2002-12,19
2003-01,39
2003-02,5
2003-03,20
2003-04,17
2003-05,25
2003-06,8
2003-07,1
2003-08,6
2003-09,67
2003-10,49
2003-11,26
2003-12,17
2004-01,71
2004-02,41
2004-03,68
2004-04,44
2004-05,57
2004-06,11
2004-07,8
2004-08,111
2004-09,80
2004-10,64
2004-11,63
2004-12,38
2005-01,32
2005-02,35
2005-03,48
2005-04,61
2005-05,81
2005-06,46
2005-07,27
2005-08,16
2005-09,9
2005-10,32
2005-11,51
2005-12,46
2006-01,29
2006-02,81
2006-03,65
2006-04,44
2006-05,62
2006-06,61
2006-07,53
2006-08,49
2006-09,37
2006-10,39
2006-11,124
2006-12,112
2007-01,168
2007-02,146
2007-03,106
2007-04,103
2007-05,128
2007-06,138
2007-07,90
2007-08,53
2007-09,81
2007-10,67
2007-11,75
2007-12,94
2008-01,111
2008-02,72
2008-03,101
2008-04,50
2008-05,71
2008-06,69
2008-07,108
2008-08,184
2008-09,115
2008-10,101
2008-11,102
2008-12,150
2009-01,94
2009-02,99
2009-03,111
2009-04,124
2009-05,156
2009-06,186
2009-07,146
2009-08,357
2009-09,230
2009-10,307
2009-11,200
2009-12,169
2010-01,120
2010-02,104
2010-03,230
2010-04,109
2010-05,136
2010-06,113
2010-07,137
2010-08,160
2010-09,150
2010-10,290
2010-11,155
2010-12,181
2011-01,262
2011-02,165
2011-03,242
2011-04,149
2011-05,244
2011-06,356
2011-07,279
2011-08,132
2011-09,170
2011-10,154
2011-11,204
2011-12,232
2012-01,401
2012-02,406
2012-03,380
2012-04,419
2012-05,293
2012-06,232
2012-07,433
2012-08,394
2012-09,403
2012-10,226
2012-11,268
2012-12,348
2013-01,490
2013-02,262
2013-03,326
2013-04,218
2013-05,152
2013-06,157
2013-07,242
2013-08,163
2013-09,233
2013-10,191
2013-11,257
2013-12,133
2014-01,166
2014-02,244
2014-03,296
2014-04,214
2014-05,270
2014-06,180
2014-07,176
2014-08,223
2014-09,262
2014-10,226
2014-11,198
2014-12,213
2015-01,280
2015-02,232
2015-03,226
2015-04,319
2015-05,184
2015-06,228
2015-07,169
2015-08,208
2015-09,130
2015-10,140
2015-11,164
2015-12,175
2016-01,234
2016-02,295
2016-03,296
2016-04,308
2016-05,239
2016-06,178
2016-07,148
2016-08,139
2016-09,148
2016-10,217
2016-11,179
2016-12,139
2017-01,203
2017-02,220
2017-03,266
2017-04,235
2017-05,304
2017-06,318
2017-07,242
2017-08,237
2017-09,191
2017-10,232
2017-11,154
2017-12,131
2018-01,145
2018-02,151
2018-03,260
2018-04,224
2018-05,177
2018-06,178
2018-07,148
2018-08,169
2018-09,145
2018-10,140
2018-11,123
2018-12,182
2019-01,136
2019-02,94
2019-03,113
2019-04,135
2019-05,118
2019-06,188
2019-07,155
2019-08,117
2019-09,104
2019-10,141
2019-11,118
2019-12,288
2020-01,232
2020-02,131
2020-03,130
2020-04,140
2020-05,112
2020-06,175
2020-07,97
2020-08,129
2020-09,193
2020-10,126
2020-11,85
2020-12,72
2021-01,128
2021-02,199
2021-03,130
2021-04,69
2021-05,50
2021-06,46
2021-07,42
2021-08,60
2021-09,77
2021-10,100
2021-11,76
2021-12,104
2022-01,73
2022-02,68
2022-03,59
2022-04,77
2022-05,73
2022-06,63
2022-07,53
2022-08,37
2022-09,54
2022-10,38
2022-11,99
2022-12,40
2023-01,49
2023-02,34
2023-03,26
2023-04,19
2023-05,45
2023-06,46
2023-07,10
