year_month,count
2010-07,115
2010-08,35
2010-09,4
2010-10,44
2010-11,11
2011-02,15
2011-03,87
2011-04,36
2011-05,3
2011-06,6
2011-07,68
2011-08,181
2011-09,72
2011-10,46
2011-11,99
2011-12,84
2012-01,107
2012-02,27
2012-03,158
2012-04,310
2012-05,334
2012-06,144
2012-07,183
2012-08,275
2012-09,87
2012-10,175
2012-11,191
2012-12,258
2013-01,229
2013-02,197
2013-03,245
2013-04,347
2013-05,378
2013-06,352
2013-07,740
2013-08,881
2013-09,822
2013-10,907
2013-11,477
2013-12,852
2014-01,1105
2014-02,995
2014-03,860
2014-04,1034
2014-05,1194
2014-06,661
2014-07,1357
2014-08,726
2014-09,735
2014-10,597
2014-11,523
2014-12,510
2015-01,639
2015-02,698
2015-03,1039
2015-04,1080
2015-05,1072
2015-06,585
2015-07,982
2015-08,609
2015-09,695
2015-10,537
2015-11,786
2015-12,2537
2016-01,1411
2016-02,1410
2016-03,1868
2016-04,1306
2016-05,1064
2016-06,1104
2016-07,1567
2016-08,1044
2016-09,936
2016-10,1081
2016-11,979
2016-12,1262
2017-01,1588
2017-02,1791
2017-03,1844
2017-04,1990
2017-05,1828
2017-06,1306
2017-07,1136
2017-08,1137
2017-09,1474
2017-10,1253
2017-11,1387
2017-12,1235
2018-01,1770
2018-02,1523
2018-03,2175
2018-04,1470
2018-05,1439
2018-06,1279
2018-07,1744
2018-08,1890
2018-09,1502
2018-10,1445
2018-11,1627
2018-12,1148
2019-01,1513
2019-02,1552
2019-03,1478
2019-04,1426
2019-05,1446
2019-06,1443
2019-07,1195
2019-08,1671
2019-09,1417
2019-10,1333
2019-11,1322
2019-12,989
2020-01,1612
2020-02,1550
2020-03,1449
2020-04,1698
2020-05,1524
2020-06,1208
2020-07,1297
2020-08,1333
2020-09,1052
2020-10,1135
2020-11,942
2020-12,898
2021-01,1361
2021-02,1494
2021-03,1453
2021-04,1245
2021-05,994
2021-06,1024
2021-07,1334
2021-08,1225
2021-09,1253
2021-10,1244
2021-11,1210
2021-12,1473
2022-01,1223
2022-02,1486
2022-03,1686
2022-04,1344
2022-05,1103
2022-06,1155
2022-07,1017
2022-08,1112
2022-09,1017
2022-10,908
2022-11,1108
2022-12,1031
2023-01,1216
2023-02,1498
2023-03,1602
2023-04,851
2023-05,958
2023-06,1145
2023-07,538
