year_month,count
2013-02-01,31
2013-03-01,9
2013-04-01,7
2013-05-01,1
2013-06-01,2
2013-07-01,4
2013-08-01,4
2013-09-01,4
2013-10-01,8
2013-11-01,7
2013-12-01,8
2014-01-01,9
2014-02-01,11
2014-03-01,17
2014-04-01,11
2014-05-01,15
2014-06-01,14
2014-07-01,15
2014-08-01,9
2014-09-01,11
2014-10-01,29
2014-11-01,24
2014-12-01,16
2015-01-01,23
2015-02-01,12
2015-03-01,20
2015-04-01,30
2015-05-01,15
2015-06-01,19
2015-07-01,21
2015-08-01,17
2015-09-01,22
2015-10-01,18
2015-11-01,24
2015-12-01,24
2016-01-01,18
2016-02-01,14
2016-03-01,12
2016-04-01,15
2016-05-01,19
2016-06-01,16
2016-07-01,13
2016-08-01,42
2016-09-01,33
2016-10-01,24
2016-11-01,45
2016-12-01,28
2017-01-01,35
2017-02-01,30
2017-03-01,46
2017-04-01,28
2017-05-01,45
2017-06-01,34
2017-07-01,31
2017-08-01,44
2017-09-01,51
2017-10-01,49
2017-11-01,49
2017-12-01,52
2018-01-01,85
2018-02-01,35
2018-03-01,56
2018-04-01,54
2018-05-01,45
2018-06-01,40
2018-07-01,57
2018-08-01,124
2018-09-01,51
2018-10-01,50
2018-11-01,67
2018-12-01,60
2019-01-01,85
2019-02-01,111
2019-03-01,100
2019-04-01,40
2019-05-01,61
2019-06-01,53
2019-07-01,66
2019-08-01,70
2019-09-01,43
2019-10-01,90
2019-11-01,49
2019-12-01,37
2020-01-01,51
2020-02-01,48
2020-03-01,36
2020-04-01,48
2020-05-01,44
2020-06-01,119
2020-07-01,44
2020-08-01,94
2020-09-01,49
2020-10-01,38
2020-11-01,54
2020-12-01,39
2021-01-01,31
2021-02-01,38
2021-03-01,35
2021-04-01,37
2021-05-01,38
2021-06-01,27
2021-07-01,21
2021-08-01,31
2021-09-01,34
2021-10-01,28
2021-11-01,37
2021-12-01,31
2022-01-01,27
2022-02-01,41
2022-03-01,48
2022-04-01,33
2022-05-01,23
2022-06-01,25
2022-07-01,29
2022-08-01,30
2022-09-01,28
2022-10-01,33
2022-11-01,25
2022-12-01,24
2023-01-01,29
2023-02-01,22
2023-03-01,22
2023-04-01,30
2023-05-01,26
2023-06-01,14
