year_month,count
2015-01,64
2015-02,149
2015-03,171
2015-04,129
2015-05,157
2015-06,77
2015-07,239
2015-08,107
2015-09,190
2015-10,134
2015-11,53
2015-12,88
2016-01,183
2016-02,296
2016-03,297
2016-04,360
2016-05,511
2016-06,415
2016-07,120
2016-08,82
2016-09,240
2016-10,334
2016-11,129
2016-12,65
2017-01,147
2017-02,193
2017-03,184
2017-04,85
2017-05,308
2017-06,285
2017-07,298
2017-08,80
2017-09,250
2017-10,185
2017-11,284
2017-12,268
2018-01,296
2018-02,84
2018-03,148
2018-04,190
2018-05,275
2018-06,264
2018-07,227
2018-08,16
2018-09,83
2018-10,191
2018-11,227
2018-12,118
2019-01,281
2019-02,639
2019-03,1108
2019-04,120
2019-05,219
2019-06,350
2019-07,400
2019-08,347
2019-09,253
2019-10,310
2019-11,247
2019-12,281
2020-01,371
2020-02,322
2020-03,243
2020-04,476
2020-05,509
2020-06,434
2020-07,715
2020-08,536
2020-09,573
2020-10,285
2020-11,134
2020-12,139
2021-01,71
2021-02,144
2021-03,147
2021-04,158
2021-05,243
2021-06,194
2021-07,148
2021-08,182
2021-09,234
2021-10,174
2021-11,122
2021-12,124
2022-01,168
2022-02,204
2022-03,183
2022-04,174
2022-05,151
2022-06,184
2022-07,110
2022-08,211
2022-09,116
2022-10,129
2022-11,180
2022-12,161
2023-01,218
2023-02,197
2023-03,139
2023-04,155
2023-05,166
2023-06,152
2023-07,66
