year_month,count
2015-11-01,4873
2015-12-01,815
2016-01-01,244
2016-02-01,182
2016-03-01,193
2016-04-01,153
2016-05-01,139
2016-06-01,166
2016-07-01,118
2016-08-01,138
2016-09-01,97
2016-10-01,146
2016-11-01,127
2016-12-01,115
2017-01-01,143
2017-02-01,113
2017-03-01,117
2017-04-01,104
2017-05-01,94
2017-06-01,114
2017-07-01,93
2017-08-01,103
2017-09-01,199
2017-10-01,122
2017-11-01,92
2017-12-01,98
2018-01-01,100
2018-02-01,92
2018-03-01,99
2018-04-01,84
2018-05-01,99
2018-06-01,65
2018-07-01,93
2018-08-01,234
2018-09-01,92
2018-10-01,78
2018-11-01,110
2018-12-01,82
2019-01-01,105
2019-02-01,68
2019-03-01,66
2019-04-01,49
2019-05-01,64
2019-06-01,75
2019-07-01,47
2019-08-01,64
2019-09-01,52
2019-10-01,42
2019-11-01,59
2019-12-01,34
2020-01-01,50
2020-02-01,50
2020-03-01,43
2020-04-01,35
2020-05-01,55
2020-06-01,37
2020-07-01,21
2020-08-01,38
2020-09-01,39
2020-10-01,47
2020-11-01,39
2020-12-01,32
2021-01-01,32
2021-02-01,38
2021-03-01,34
2021-04-01,32
2021-05-01,31
2021-06-01,48
2021-07-01,47
2021-08-01,23
2021-09-01,35
2021-10-01,33
2021-11-01,29
2021-12-01,36
2022-01-01,30
2022-02-01,37
2022-03-01,26
2022-04-01,29
2022-05-01,48
2022-06-01,18
2022-07-01,31
2022-08-01,25
2022-09-01,27
2022-10-01,29
2022-11-01,23
2022-12-01,15
2023-01-01,19
2023-02-01,17
2023-03-01,41
2023-04-01,25
2023-05-01,35
2023-06-01,29
