year_month,count
2015-04-01,3
2015-05-01,52
2015-06-01,36
2015-07-01,47
2015-08-01,50
2015-09-01,47
2015-10-01,75
2015-11-01,77
2015-12-01,63
2016-01-01,92
2016-02-01,86
2016-03-01,129
2016-04-01,106
2016-05-01,90
2016-06-01,79
2016-07-01,69
2016-08-01,81
2016-09-01,83
2016-10-01,98
2016-11-01,112
2016-12-01,90
2017-01-01,108
2017-02-01,99
2017-03-01,149
2017-04-01,108
2017-05-01,104
2017-06-01,113
2017-07-01,90
2017-08-01,115
2017-09-01,95
2017-10-01,107
2017-11-01,116
2017-12-01,84
2018-01-01,104
2018-02-01,110
2018-03-01,107
2018-04-01,107
2018-05-01,133
2018-06-01,124
2018-07-01,111
2018-08-01,121
2018-09-01,102
2018-10-01,121
2018-11-01,113
2018-12-01,109
2019-01-01,128
2019-02-01,136
2019-03-01,159
2019-04-01,148
2019-05-01,141
2019-06-01,144
2019-07-01,131
2019-08-01,130
2019-09-01,207
2019-10-01,165
2019-11-01,173
2019-12-01,105
2020-01-01,153
2020-02-01,164
2020-03-01,263
2020-04-01,343
2020-05-01,209
2020-06-01,169
2020-07-01,144
2020-08-01,236
2020-09-01,184
2020-10-01,165
2020-11-01,246
2020-12-01,127
2021-01-01,385
2021-02-01,468
2021-03-01,343
2021-04-01,363
2021-05-01,144
2021-06-01,147
2021-07-01,99
2021-08-01,173
2021-09-01,109
2021-10-01,109
2021-11-01,87
2021-12-01,113
2022-01-01,158
2022-02-01,152
2022-03-01,155
2022-04-01,100
2022-05-01,158
2022-06-01,92
2022-07-01,88
2022-08-01,101
2022-09-01,145
2022-10-01,92
2022-11-01,91
2022-12-01,164
2023-01-01,109
2023-02-01,99
2023-03-01,117
2023-04-01,128
2023-05-01,96
2023-06-01,79
