year_month,count
2013-06-01,41
2013-07-01,92
2013-08-01,289
2013-09-01,57
2013-10-01,67
2013-11-01,49
2013-12-01,45
2014-01-01,38
2014-02-01,37
2014-03-01,25
2014-04-01,46
2014-05-01,161
2014-06-01,83
2014-07-01,68
2014-08-01,44
2014-09-01,55
2014-10-01,44
2014-11-01,54
2014-12-01,49
2015-01-01,58
2015-02-01,61
2015-03-01,73
2015-04-01,289
2015-05-01,69
2015-06-01,80
2015-07-01,87
2015-08-01,62
2015-09-01,78
2015-10-01,54
2015-11-01,79
2015-12-01,126
2016-01-01,108
2016-02-01,121
2016-03-01,105
2016-04-01,87
2016-05-01,74
2016-06-01,90
2016-07-01,117
2016-08-01,95
2016-09-01,80
2016-10-01,93
2016-11-01,114
2016-12-01,114
2017-01-01,88
2017-02-01,83
2017-03-01,120
2017-04-01,123
2017-05-01,98
2017-06-01,108
2017-07-01,582
2017-08-01,124
2017-09-01,120
2017-10-01,120
2017-11-01,135
2017-12-01,196
2018-01-01,133
2018-02-01,133
2018-03-01,131
2018-04-01,158
2018-05-01,313
2018-06-01,174
2018-07-01,140
2018-08-01,169
2018-09-01,150
2018-10-01,166
2018-11-01,217
2018-12-01,179
2019-01-01,174
2019-02-01,150
2019-03-01,185
2019-04-01,162
2019-05-01,611
2019-06-01,204
2019-07-01,191
2019-08-01,215
2019-09-01,195
2019-10-01,154
2019-11-01,183
2019-12-01,164
2020-01-01,181
2020-02-01,138
2020-03-01,172
2020-04-01,203
2020-05-01,162
2020-06-01,191
2020-07-01,174
2020-08-01,200
2020-09-01,206
2020-10-01,196
2020-11-01,332
2020-12-01,206
2021-01-01,178
2021-02-01,238
2021-03-01,201
2021-04-01,187
2021-05-01,208
2021-06-01,196
2021-07-01,243
2021-08-01,228
2021-09-01,196
2021-10-01,205
2021-11-01,208
2021-12-01,235
2022-01-01,243
2022-02-01,247
2022-03-01,222
2022-04-01,410
2022-05-01,823
2022-06-01,278
2022-07-01,322
2022-08-01,236
2022-09-01,239
2022-10-01,239
2022-11-01,215
2022-12-01,195
2023-01-01,243
2023-02-01,226
2023-03-01,270
2023-04-01,731
2023-05-01,387
2023-06-01,201
