year_month,count
2016-11-01,1
2016-12-01,1
2017-02-01,29
2017-03-01,38
2017-04-01,2
2017-05-01,8
2017-06-01,13
2017-07-01,58
2017-08-01,9
2017-09-01,6
2017-10-01,10
2017-11-01,9
2017-12-01,3
2018-01-01,11
2018-02-01,8
2018-03-01,11
2018-04-01,6
2018-05-01,109
2018-06-01,284
2018-07-01,369
2018-08-01,148
2018-09-01,94
2018-10-01,106
2018-11-01,65
2018-12-01,44
2019-01-01,74
2019-02-01,40
2019-03-01,43
2019-04-01,32
2019-05-01,31
2019-06-01,32
2019-07-01,49
2019-08-01,38
2019-09-01,199
2019-10-01,61
2019-11-01,53
2019-12-01,45
2020-01-01,46
2020-02-01,81
2020-03-01,42
2020-04-01,33
2020-05-01,39
2020-06-01,24
2020-07-01,26
2020-08-01,42
2020-09-01,20
2020-10-01,28
2020-11-01,24
2020-12-01,37
2021-01-01,13
2021-02-01,27
2021-03-01,20
2021-04-01,30
2021-05-01,24
2021-06-01,36
2021-07-01,27
2021-08-01,23
2021-09-01,22
2021-10-01,27
2021-11-01,28
2021-12-01,15
2022-01-01,21
2022-02-01,17
2022-03-01,31
2022-04-01,24
2022-05-01,42
2022-06-01,33
2022-07-01,23
2022-08-01,34
2022-09-01,20
2022-10-01,19
2022-11-01,15
2022-12-01,15
2023-01-01,21
2023-02-01,18
2023-03-01,23
2023-04-01,23
2023-05-01,18
2023-06-01,26
