year_month,count
2012-06-01,122
2012-07-01,6
2012-08-01,1
2012-09-01,1
2012-10-01,2
2012-12-01,1
2013-02-01,49
2013-03-01,138
2013-04-01,28
2013-05-01,13
2013-06-01,18
2013-07-01,29
2013-08-01,34
2013-09-01,32
2013-10-01,35
2013-11-01,72
2013-12-01,51
2014-01-01,58
2014-02-01,70
2014-03-01,59
2014-04-01,55
2014-05-01,77
2014-06-01,36
2014-07-01,37
2014-08-01,43
2014-09-01,34
2014-10-01,57
2014-11-01,30
2014-12-01,92
2015-01-01,82
2015-02-01,63
2015-03-01,89
2015-04-01,109
2015-05-01,96
2015-06-01,80
2015-07-01,70
2015-08-01,71
2015-09-01,55
2015-10-01,74
2015-11-01,67
2015-12-01,46
2016-01-01,45
2016-02-01,60
2016-03-01,68
2016-04-01,56
2016-05-01,91
2016-06-01,41
2016-07-01,39
2016-08-01,36
2016-09-01,33
2016-10-01,26
2016-11-01,52
2016-12-01,32
2017-01-01,47
2017-02-01,36
2017-03-01,57
2017-04-01,41
2017-05-01,51
2017-06-01,31
2017-07-01,43
2017-08-01,30
2017-09-01,33
2017-10-01,30
2017-11-01,51
2017-12-01,43
2018-01-01,35
2018-02-01,40
2018-03-01,38
2018-04-01,48
2018-05-01,25
2018-06-01,24
2018-07-01,25
2018-08-01,31
2018-09-01,14
2018-10-01,24
2018-11-01,24
2018-12-01,26
2019-01-01,19
2019-02-01,28
2019-03-01,20
2019-04-01,18
2019-05-01,16
2019-06-01,14
2019-07-01,17
2019-08-01,12
2019-09-01,9
2019-10-01,17
2019-11-01,12
2019-12-01,11
2020-01-01,12
2020-02-01,19
2020-03-01,11
2020-04-01,19
2020-05-01,16
2020-06-01,16
2020-07-01,8
2020-08-01,19
2020-09-01,16
2020-10-01,22
2020-11-01,8
2020-12-01,10
2021-01-01,11
2021-02-01,8
2021-03-01,10
2021-04-01,8
2021-05-01,6
2021-06-01,11
2021-07-01,5
2021-08-01,5
2021-09-01,6
2021-10-01,7
2021-11-01,8
2021-12-01,10
2022-01-01,9
2022-02-01,3
2022-03-01,5
2022-04-01,4
2022-05-01,7
2022-06-01,5
2022-07-01,5
2022-08-01,3
2022-09-01,3
2022-10-01,3
2022-11-01,6
2022-12-01,3
2023-01-01,5
2023-02-01,6
2023-03-01,6
2023-04-01,3
2023-05-01,4
2023-06-01,5
