year_month,count
2016-08-01,65
2016-09-01,37
2016-10-01,68
2016-11-01,63
2016-12-01,17
2017-01-01,10
2017-02-01,28
2017-03-01,30
2017-04-01,131
2017-05-01,90
2017-06-01,59
2017-07-01,40
2017-08-01,161
2017-09-01,128
2017-10-01,98
2017-11-01,81
2017-12-01,76
2018-01-01,80
2018-02-01,130
2018-03-01,179
2018-04-01,222
2018-05-01,384
2018-06-01,134
2018-07-01,135
2018-08-01,150
2018-09-01,91
2018-10-01,127
2018-11-01,141
2018-12-01,112
2019-01-01,98
2019-02-01,186
2019-03-01,132
2019-04-01,127
2019-05-01,158
2019-06-01,112
2019-07-01,136
2019-08-01,162
2019-09-01,125
2019-10-01,90
2019-11-01,134
2019-12-01,139
2020-01-01,86
2020-02-01,117
2020-03-01,107
2020-04-01,193
2020-05-01,144
2020-06-01,133
2020-07-01,293
2020-08-01,280
2020-09-01,246
2020-10-01,204
2020-11-01,293
2020-12-01,188
2021-01-01,183
2021-02-01,207
2021-03-01,210
2021-04-01,222
2021-05-01,248
2021-06-01,315
2021-07-01,202
2021-08-01,254
2021-09-01,180
2021-10-01,254
2021-11-01,215
2021-12-01,787
2022-01-01,353
2022-02-01,218
2022-03-01,327
2022-04-01,294
2022-05-01,443
2022-06-01,275
2022-07-01,275
2022-08-01,274
2022-09-01,309
2022-10-01,242
2022-11-01,296
2022-12-01,294
2023-01-01,295
2023-02-01,284
2023-03-01,357
2023-04-01,389
2023-05-01,323
2023-06-01,291
