year_month,count
2016-03-01,22
2016-04-01,13
2016-05-01,11
2016-06-01,20
2016-07-01,13
2016-08-01,8
2016-09-01,10
2016-10-01,12
2016-11-01,16
2016-12-01,11
2017-01-01,6
2017-02-01,13
2017-03-01,16
2017-04-01,13
2017-05-01,20
2017-06-01,9
2017-07-01,10
2017-08-01,17
2017-09-01,16
2017-10-01,18
2017-11-01,14
2017-12-01,21
2018-01-01,26
2018-02-01,30
2018-03-01,33
2018-04-01,29
2018-05-01,45
2018-06-01,37
2018-07-01,45
2018-08-01,52
2018-09-01,57
2018-10-01,29
2018-11-01,56
2018-12-01,55
2019-01-01,40
2019-02-01,32
2019-03-01,49
2019-04-01,66
2019-05-01,50
2019-06-01,37
2019-07-01,95
2019-08-01,30
2019-09-01,48
2019-10-01,56
2019-11-01,37
2019-12-01,43
2020-01-01,27
2020-02-01,29
2020-03-01,56
2020-04-01,58
2020-05-01,43
2020-06-01,53
2020-07-01,37
2020-08-01,34
2020-09-01,60
2020-10-01,63
2020-11-01,40
2020-12-01,62
2021-01-01,45
2021-02-01,48
2021-03-01,49
2021-04-01,38
2021-05-01,32
2021-06-01,35
2021-07-01,78
2021-08-01,63
2021-09-01,50
2021-10-01,38
2021-11-01,46
2021-12-01,58
2022-01-01,48
2022-02-01,40
2022-03-01,50
2022-04-01,88
2022-05-01,121
2022-06-01,44
2022-07-01,89
2022-08-01,102
2022-09-01,109
2022-10-01,62
2022-11-01,72
2022-12-01,64
2023-01-01,56
2023-02-01,82
2023-03-01,89
2023-04-01,99
2023-05-01,93
2023-06-01,61
2023-07-01,1
