year_month,count
2014-08-01,1
2014-10-01,5
2014-11-01,1
2014-12-01,1
2015-02-01,4
2015-03-01,14
2015-04-01,6
2015-05-01,17
2015-06-01,7
2015-07-01,4
2015-08-01,5
2015-09-01,10
2015-10-01,9
2015-11-01,31
2015-12-01,23
2016-01-01,15
2016-02-01,17
2016-03-01,156
2016-04-01,186
2016-05-01,105
2016-06-01,58
2016-07-01,61
2016-08-01,90
2016-09-01,55
2016-10-01,64
2016-11-01,89
2016-12-01,66
2017-01-01,69
2017-02-01,125
2017-03-01,90
2017-04-01,78
2017-05-01,79
2017-06-01,101
2017-07-01,179
2017-08-01,70
2017-09-01,53
2017-10-01,80
2017-11-01,128
2017-12-01,73
2018-01-01,88
2018-02-01,83
2018-03-01,121
2018-04-01,62
2018-05-01,53
2018-06-01,67
2018-07-01,59
2018-08-01,46
2018-09-01,71
2018-10-01,66
2018-11-01,105
2018-12-01,98
2019-01-01,97
2019-02-01,85
2019-03-01,120
2019-04-01,90
2019-05-01,91
2019-06-01,112
2019-07-01,133
2019-08-01,126
2019-09-01,110
2019-10-01,93
2019-11-01,86
2019-12-01,82
2020-01-01,65
2020-02-01,82
2020-03-01,83
2020-04-01,56
2020-05-01,61
2020-06-01,110
2020-07-01,36
2020-08-01,62
2020-09-01,59
2020-10-01,67
2020-11-01,61
2020-12-01,77
2021-01-01,58
2021-02-01,62
2021-03-01,73
2021-04-01,76
2021-05-01,57
2021-06-01,54
2021-07-01,66
2021-08-01,85
2021-09-01,64
2021-10-01,67
2021-11-01,51
2021-12-01,63
2022-01-01,70
2022-02-01,53
2022-03-01,65
2022-04-01,60
2022-05-01,48
2022-06-01,58
2022-07-01,41
2022-08-01,84
2022-09-01,58
2022-10-01,71
2022-11-01,49
2022-12-01,46
2023-01-01,37
2023-02-01,48
2023-03-01,41
2023-04-01,46
2023-05-01,44
2023-06-01,22
