year_month,count
2010-03-01,211
2010-04-01,9
2010-05-01,12
2010-06-01,5
2010-07-01,7
2010-08-01,9
2010-09-01,6
2010-10-01,6
2010-11-01,9
2010-12-01,11
2011-01-01,12
2011-02-01,10
2011-03-01,3
2011-04-01,12
2011-05-01,18
2011-06-01,10
2011-07-01,1
2011-08-01,6
2011-09-01,6
2011-10-01,7
2011-11-01,15
2011-12-01,4
2012-01-01,9
2012-02-01,5
2012-03-01,9
2012-04-01,11
2012-05-01,9
2012-06-01,5
2012-07-01,6
2012-08-01,2
2012-09-01,1
2012-10-01,1
2012-11-01,2
2012-12-01,1
2013-02-01,16
2013-03-01,5
2013-04-01,15
2013-05-01,19
2013-06-01,21
2013-07-01,24
2013-08-01,26
2013-09-01,20
2013-10-01,23
2013-11-01,28
2013-12-01,21
2014-01-01,21
2014-02-01,21
2014-03-01,19
2014-04-01,32
2014-05-01,26
2014-06-01,21
2014-07-01,26
2014-08-01,69
2014-09-01,30
2014-10-01,29
2014-11-01,33
2014-12-01,43
2015-01-01,46
2015-02-01,51
2015-03-01,159
2015-04-01,117
2015-05-01,71
2015-06-01,73
2015-07-01,98
2015-08-01,125
2015-09-01,90
2015-10-01,87
2015-11-01,98
2015-12-01,139
2016-01-01,115
2016-02-01,105
2016-03-01,129
2016-04-01,113
2016-05-01,141
2016-06-01,91
2016-07-01,116
2016-08-01,181
2016-09-01,135
2016-10-01,122
2016-11-01,162
2016-12-01,156
2017-01-01,135
2017-02-01,150
2017-03-01,227
2017-04-01,184
2017-05-01,174
2017-06-01,184
2017-07-01,150
2017-08-01,166
2017-09-01,152
2017-10-01,325
2017-11-01,245
2017-12-01,263
2018-01-01,694
2018-02-01,230
2018-03-01,266
2018-04-01,317
2018-05-01,255
2018-06-01,242
2018-07-01,293
2018-08-01,308
2018-09-01,1158
2018-10-01,378
2018-11-01,356
2018-12-01,329
2019-01-01,255
2019-02-01,289
2019-03-01,393
2019-04-01,414
2019-05-01,472
2019-06-01,346
2019-07-01,379
2019-08-01,263
2019-09-01,443
2019-10-01,369
2019-11-01,280
2019-12-01,307
2020-01-01,212
2020-02-01,256
2020-03-01,319
2020-04-01,320
2020-05-01,274
2020-06-01,233
2020-07-01,263
2020-08-01,260
2020-09-01,260
2020-10-01,211
2020-11-01,261
2020-12-01,326
2021-01-01,272
2021-02-01,294
2021-03-01,344
2021-04-01,597
2021-05-01,346
2021-06-01,306
2021-07-01,307
2021-08-01,303
2021-09-01,357
2021-10-01,328
2021-11-01,350
2021-12-01,360
2022-01-01,477
2022-02-01,340
2022-03-01,722
2022-04-01,348
2022-05-01,404
2022-06-01,410
2022-07-01,315
2022-08-01,545
2022-09-01,396
2022-10-01,496
2022-11-01,335
2022-12-01,431
2023-01-01,361
2023-02-01,342
2023-03-01,478
2023-04-01,913
2023-05-01,422
2023-06-01,278
