year_month,count
2012-03-01,93
2012-04-01,5
2012-05-01,5
2012-06-01,4
2012-07-01,4
2012-08-01,1
2012-09-01,1
2012-10-01,2
2013-01-01,2
2013-02-01,6
2013-03-01,6
2013-04-01,7
2013-05-01,10
2013-06-01,3
2013-07-01,10
2013-08-01,9
2013-09-01,14
2013-10-01,6
2013-11-01,4
2013-12-01,10
2014-01-01,4
2014-02-01,10
2014-03-01,12
2014-04-01,9
2014-05-01,4
2014-06-01,8
2014-07-01,7
2014-08-01,7
2014-09-01,6
2014-10-01,6
2014-11-01,14
2014-12-01,63
2015-01-01,13
2015-02-01,18
2015-03-01,23
2015-04-01,26
2015-05-01,11
2015-06-01,19
2015-07-01,20
2015-08-01,12
2015-09-01,18
2015-10-01,25
2015-11-01,18
2015-12-01,104
2016-01-01,23
2016-02-01,74
2016-03-01,24
2016-04-01,14
2016-05-01,20
2016-06-01,23
2016-07-01,18
2016-08-01,23
2016-09-01,26
2016-10-01,19
2016-11-01,51
2016-12-01,86
2017-01-01,37
2017-02-01,27
2017-03-01,29
2017-04-01,26
2017-05-01,19
2017-06-01,17
2017-07-01,18
2017-08-01,19
2017-09-01,17
2017-10-01,22
2017-11-01,21
2017-12-01,240
2018-01-01,105
2018-02-01,58
2018-03-01,42
2018-04-01,53
2018-05-01,40
2018-06-01,39
2018-07-01,36
2018-08-01,39
2018-09-01,31
2018-10-01,47
2018-11-01,58
2018-12-01,103
2019-01-01,83
2019-02-01,65
2019-03-01,77
2019-04-01,94
2019-05-01,116
2019-06-01,71
2019-07-01,53
2019-08-01,59
2019-09-01,72
2019-10-01,100
2019-11-01,126
2019-12-01,308
2020-01-01,120
2020-02-01,97
2020-03-01,73
2020-04-01,105
2020-05-01,71
2020-06-01,71
2020-07-01,79
2020-08-01,114
2020-09-01,58
2020-10-01,72
2020-11-01,88
2020-12-01,429
2021-01-01,115
2021-02-01,82
2021-03-01,66
2021-04-01,70
2021-05-01,84
2021-06-01,60
2021-07-01,264
2021-08-01,78
2021-09-01,78
2021-10-01,67
2021-11-01,59
2021-12-01,166
2022-01-01,97
2022-02-01,85
2022-03-01,60
2022-04-01,65
2022-05-01,78
2022-06-01,86
2022-07-01,328
2022-08-01,81
2022-09-01,67
2022-10-01,51
2022-11-01,93
2022-12-01,121
2023-01-01,111
2023-02-01,91
2023-03-01,72
2023-04-01,97
2023-05-01,84
2023-06-01,89
