year_month,count
2012-10-01,428
2012-11-01,6
2012-12-01,1
2013-01-01,5
2013-02-01,77
2013-03-01,105
2013-04-01,70
2013-05-01,84
2013-06-01,153
2013-07-01,101
2013-08-01,99
2013-09-01,63
2013-10-01,66
2013-11-01,85
2013-12-01,78
2014-01-01,63
2014-02-01,100
2014-03-01,109
2014-04-01,121
2014-05-01,107
2014-06-01,81
2014-07-01,91
2014-08-01,90
2014-09-01,87
2014-10-01,109
2014-11-01,101
2014-12-01,106
2015-01-01,118
2015-02-01,94
2015-03-01,225
2015-04-01,283
2015-05-01,294
2015-06-01,246
2015-07-01,176
2015-08-01,175
2015-09-01,218
2015-10-01,219
2015-11-01,221
2015-12-01,255
2016-01-01,262
2016-02-01,263
2016-03-01,283
2016-04-01,253
2016-05-01,260
2016-06-01,269
2016-07-01,301
2016-08-01,284
2016-09-01,345
2016-10-01,290
2016-11-01,281
2016-12-01,264
2017-01-01,269
2017-02-01,250
2017-03-01,329
2017-04-01,364
2017-05-01,341
2017-06-01,299
2017-07-01,403
2017-08-01,339
2017-09-01,353
2017-10-01,449
2017-11-01,390
2017-12-01,380
2018-01-01,458
2018-02-01,379
2018-03-01,432
2018-04-01,431
2018-05-01,427
2018-06-01,452
2018-07-01,445
2018-08-01,485
2018-09-01,483
2018-10-01,574
2018-11-01,555
2018-12-01,599
2019-01-01,681
2019-02-01,540
2019-03-01,596
2019-04-01,582
2019-05-01,593
2019-06-01,467
2019-07-01,537
2019-08-01,554
2019-09-01,439
2019-10-01,497
2019-11-01,455
2019-12-01,438
2020-01-01,487
2020-02-01,486
2020-03-01,451
2020-04-01,546
2020-05-01,576
2020-06-01,477
2020-07-01,461
2020-08-01,437
2020-09-01,541
2020-10-01,447
2020-11-01,434
2020-12-01,553
2021-01-01,490
2021-02-01,500
2021-03-01,522
2021-04-01,481
2021-05-01,459
2021-06-01,693
2021-07-01,448
2021-08-01,446
2021-09-01,522
2021-10-01,491
2021-11-01,434
2021-12-01,398
2022-01-01,437
2022-02-01,362
2022-03-01,446
2022-04-01,477
2022-05-01,540
2022-06-01,454
2022-07-01,433
2022-08-01,468
2022-09-01,460
2022-10-01,444
2022-11-01,410
2022-12-01,400
2023-01-01,500
2023-02-01,446
2023-03-01,491
2023-04-01,447
2023-05-01,360
2023-06-01,349
