year_month,count
2014-04-01,1
2014-05-01,458
2014-06-01,106
2014-07-01,57
2014-08-01,59
2014-09-01,78
2014-10-01,74
2014-11-01,466
2014-12-01,149
2015-01-01,143
2015-02-01,218
2015-03-01,208
2015-04-01,227
2015-05-01,247
2015-06-01,123
2015-07-01,179
2015-08-01,125
2015-09-01,137
2015-10-01,140
2015-11-01,174
2015-12-01,153
2016-01-01,165
2016-02-01,141
2016-03-01,157
2016-04-01,128
2016-05-01,152
2016-06-01,153
2016-07-01,134
2016-08-01,73
2016-09-01,95
2016-10-01,97
2016-11-01,94
2016-12-01,87
2017-01-01,90
2017-02-01,101
2017-03-01,111
2017-04-01,90
2017-05-01,120
2017-06-01,78
2017-07-01,89
2017-08-01,90
2017-09-01,84
2017-10-01,73
2017-11-01,82
2017-12-01,93
2018-01-01,87
2018-02-01,82
2018-03-01,86
2018-04-01,81
2018-05-01,104
2018-06-01,103
2018-07-01,100
2018-08-01,80
2018-09-01,70
2018-10-01,192
2018-11-01,313
2018-12-01,527
2019-01-01,753
2019-02-01,538
2019-03-01,692
2019-04-01,632
2019-05-01,622
2019-06-01,475
2019-07-01,572
2019-08-01,502
2019-09-01,423
2019-10-01,410
2019-11-01,497
2019-12-01,465
2020-01-01,405
2020-02-01,430
2020-03-01,504
2020-04-01,456
2020-05-01,539
2020-06-01,418
2020-07-01,449
2020-08-01,430
2020-09-01,385
2020-10-01,385
2020-11-01,412
2020-12-01,358
2021-01-01,354
2021-02-01,417
2021-03-01,389
2021-04-01,389
2021-05-01,2507
2021-06-01,320
2021-07-01,392
2021-08-01,475
2021-09-01,289
2021-10-01,304
2021-11-01,351
2021-12-01,332
2022-01-01,303
2022-02-01,269
2022-03-01,328
2022-04-01,426
2022-05-01,504
2022-06-01,307
2022-07-01,307
2022-08-01,326
2022-09-01,342
2022-10-01,352
2022-11-01,299
2022-12-01,234
2023-01-01,374
2023-02-01,272
2023-03-01,340
2023-04-01,311
2023-05-01,303
2023-06-01,234
