year_month,count
2019-10-01,1
2019-11-01,402
2019-12-01,514
2020-01-01,335
2020-02-01,169
2020-03-01,332
2020-04-01,320
2020-05-01,256
2020-06-01,255
2020-07-01,341
2020-08-01,239
2020-09-01,312
2020-10-01,305
2020-11-01,273
2020-12-01,215
2021-01-01,206
2021-02-01,219
2021-03-01,254
2021-04-01,334
2021-05-01,540
2021-06-01,212
2021-07-01,224
2021-08-01,235
2021-09-01,233
2021-10-01,203
2021-11-01,291
2021-12-01,226
2022-01-01,238
2022-02-01,252
2022-03-01,293
2022-04-01,253
2022-05-01,225
2022-06-01,351
2022-07-01,243
2022-08-01,296
2022-09-01,288
2022-10-01,257
2022-11-01,259
2022-12-01,253
2023-01-01,256
2023-02-01,240
2023-03-01,289
2023-04-01,213
2023-05-01,224
2023-06-01,183
