year_month,count
2017-04-01,3
2017-05-01,37
2017-06-01,15
2017-07-01,12
2017-08-01,12
2017-09-01,18
2017-10-01,51
2017-11-01,60
2017-12-01,33
2018-01-01,50
2018-02-01,61
2018-03-01,80
2018-04-01,76
2018-05-01,123
2018-06-01,110
2018-07-01,94
2018-08-01,113
2018-09-01,118
2018-10-01,118
2018-11-01,116
2018-12-01,99
2019-01-01,107
2019-02-01,70
2019-03-01,98
2019-04-01,71
2019-05-01,91
2019-06-01,73
2019-07-01,68
2019-08-01,71
2019-09-01,69
2019-10-01,63
2019-11-01,68
2019-12-01,77
2020-01-01,55
2020-02-01,73
2020-03-01,71
2020-04-01,61
2020-05-01,51
2020-06-01,61
2020-07-01,52
2020-08-01,64
2020-09-01,48
2020-10-01,46
2020-11-01,54
2020-12-01,47
2021-01-01,38
2021-02-01,42
2021-03-01,51
2021-04-01,57
2021-05-01,43
2021-06-01,44
2021-07-01,46
2021-08-01,37
2021-09-01,40
2021-10-01,38
2021-11-01,46
2021-12-01,33
2022-01-01,42
2022-02-01,35
2022-03-01,44
2022-04-01,23
2022-05-01,36
2022-06-01,36
2022-07-01,42
2022-08-01,34
2022-09-01,26
2022-10-01,30
2022-11-01,44
2022-12-01,14
2023-01-01,19
2023-02-01,40
2023-03-01,23
2023-04-01,32
2023-05-01,36
2023-06-01,21
