year_month,count
2016-08-01,12
2016-09-01,134
2016-10-01,83
2016-11-01,55
2016-12-01,64
2017-01-01,83
2017-02-01,65
2017-03-01,59
2017-04-01,98
2017-05-01,84
2017-06-01,72
2017-07-01,75
2017-08-01,97
2017-09-01,87
2017-10-01,83
2017-11-01,74
2017-12-01,73
2018-01-01,113
2018-02-01,107
2018-03-01,94
2018-04-01,122
2018-05-01,102
2018-06-01,82
2018-07-01,93
2018-08-01,110
2018-09-01,101
2018-10-01,107
2018-11-01,116
2018-12-01,103
2019-01-01,145
2019-02-01,110
2019-03-01,141
2019-04-01,146
2019-05-01,143
2019-06-01,100
2019-07-01,140
2019-08-01,103
2019-09-01,117
2019-10-01,133
2019-11-01,126
2019-12-01,129
2020-01-01,118
2020-02-01,84
2020-03-01,135
2020-04-01,144
2020-05-01,136
2020-06-01,133
2020-07-01,126
2020-08-01,134
2020-09-01,129
2020-10-01,124
2020-11-01,128
2020-12-01,153
2021-01-01,137
2021-02-01,155
2021-03-01,171
2021-04-01,148
2021-05-01,140
2021-06-01,138
2021-07-01,137
2021-08-01,123
2021-09-01,160
2021-10-01,187
2021-11-01,197
2021-12-01,181
2022-01-01,187
2022-02-01,146
2022-03-01,186
2022-04-01,186
2022-05-01,157
2022-06-01,183
2022-07-01,174
2022-08-01,182
2022-09-01,173
2022-10-01,151
2022-11-01,158
2022-12-01,166
2023-01-01,204
2023-02-01,225
2023-03-01,229
2023-04-01,208
2023-05-01,215
2023-06-01,142
