year_month,count
2013-07-01,199
2013-08-01,675
2013-09-01,350
2013-10-01,205
2013-11-01,150
2013-12-01,218
2014-01-01,225
2014-02-01,230
2014-03-01,195
2014-04-01,257
2014-05-01,167
2014-06-01,192
2014-07-01,244
2014-08-01,269
2014-09-01,257
2014-10-01,206
2014-11-01,228
2014-12-01,299
2015-01-01,310
2015-02-01,268
2015-03-01,269
2015-04-01,255
2015-05-01,240
2015-06-01,241
2015-07-01,266
2015-08-01,223
2015-09-01,294
2015-10-01,259
2015-11-01,229
2015-12-01,206
2016-01-01,250
2016-02-01,228
2016-03-01,280
2016-04-01,271
2016-05-01,295
2016-06-01,300
2016-07-01,309
2016-08-01,277
2016-09-01,273
2016-10-01,289
2016-11-01,311
2016-12-01,283
2017-01-01,276
2017-02-01,314
2017-03-01,368
2017-04-01,343
2017-05-01,325
2017-06-01,325
2017-07-01,399
2017-08-01,359
2017-09-01,332
2017-10-01,318
2017-11-01,347
2017-12-01,390
2018-01-01,454
2018-02-01,419
2018-03-01,496
2018-04-01,492
2018-05-01,509
2018-06-01,412
2018-07-01,475
2018-08-01,557
2018-09-01,482
2018-10-01,427
2018-11-01,516
2018-12-01,607
2019-01-01,620
2019-02-01,456
2019-03-01,656
2019-04-01,663
2019-05-01,651
2019-06-01,556
2019-07-01,644
2019-08-01,605
2019-09-01,517
2019-10-01,518
2019-11-01,490
2019-12-01,524
2020-01-01,459
2020-02-01,436
2020-03-01,451
2020-04-01,556
2020-05-01,521
2020-06-01,451
2020-07-01,456
2020-08-01,399
2020-09-01,409
2020-10-01,351
2020-11-01,452
2020-12-01,426
2021-01-01,450
2021-02-01,339
2021-03-01,433
2021-04-01,393
2021-05-01,377
2021-06-01,362
2021-07-01,383
2021-08-01,345
2021-09-01,351
2021-10-01,319
2021-11-01,366
2021-12-01,372
2022-01-01,352
2022-02-01,313
2022-03-01,405
2022-04-01,412
2022-05-01,384
2022-06-01,342
2022-07-01,381
2022-08-01,339
2022-09-01,369
2022-10-01,340
2022-11-01,346
2022-12-01,266
2023-01-01,266
2023-02-01,310
2023-03-01,363
2023-04-01,332
2023-05-01,318
2023-06-01,270
