year_month,count
2015-08-01,3
2015-09-01,9
2015-10-01,7
2015-11-01,11
2015-12-01,11
2016-01-01,14
2016-02-01,15
2016-03-01,51
2016-04-01,21
2016-05-01,41
2016-06-01,40
2016-07-01,42
2016-08-01,42
2016-09-01,38
2016-10-01,39
2016-11-01,32
2016-12-01,34
2017-01-01,19
2017-02-01,37
2017-03-01,66
2017-04-01,62
2017-05-01,128
2017-06-01,213
2017-07-01,239
2017-08-01,220
2017-09-01,185
2017-10-01,280
2017-11-01,275
2017-12-01,342
2018-01-01,513
2018-02-01,375
2018-03-01,482
2018-04-01,363
2018-05-01,370
2018-06-01,279
2018-07-01,226
2018-08-01,224
2018-09-01,189
2018-10-01,187
2018-11-01,169
2018-12-01,116
2019-01-01,120
2019-02-01,95
2019-03-01,119
2019-04-01,80
2019-05-01,101
2019-06-01,110
2019-07-01,94
2019-08-01,69
2019-09-01,61
2019-10-01,90
2019-11-01,84
2019-12-01,99
2020-01-01,76
2020-02-01,76
2020-03-01,71
2020-04-01,95
2020-05-01,112
2020-06-01,84
2020-07-01,99
2020-08-01,113
2020-09-01,124
2020-10-01,130
2020-11-01,164
2020-12-01,220
2021-01-01,194
2021-02-01,229
2021-03-01,293
2021-04-01,328
2021-05-01,583
2021-06-01,321
2021-07-01,572
2021-08-01,287
2021-09-01,457
2021-10-01,468
2021-11-01,677
2021-12-01,573
2022-01-01,583
2022-02-01,582
2022-03-01,490
2022-04-01,836
2022-05-01,486
2022-06-01,428
2022-07-01,392
2022-08-01,423
2022-09-01,324
2022-10-01,321
2022-11-01,306
2022-12-01,235
2023-01-01,248
2023-02-01,276
2023-03-01,296
2023-04-01,277
2023-05-01,235
2023-06-01,171
