year_month,count
2013-04-01,128
2013-05-01,131
2013-06-01,20
2013-07-01,14
2013-08-01,13
2013-09-01,10
2013-10-01,49
2013-11-01,51
2013-12-01,46
2014-01-01,33
2014-02-01,26
2014-03-01,28
2014-04-01,47
2014-05-01,58
2014-06-01,21
2014-07-01,40
2014-08-01,34
2014-09-01,53
2014-10-01,38
2014-11-01,32
2014-12-01,29
2015-01-01,43
2015-02-01,36
2015-03-01,73
2015-04-01,57
2015-05-01,130
2015-06-01,61
2015-07-01,70
2015-08-01,119
2015-09-01,171
2015-10-01,150
2015-11-01,103
2015-12-01,75
2016-01-01,107
2016-02-01,69
2016-03-01,111
2016-04-01,96
2016-05-01,93
2016-06-01,99
2016-07-01,83
2016-08-01,101
2016-09-01,119
2016-10-01,101
2016-11-01,101
2016-12-01,243
2017-01-01,135
2017-02-01,102
2017-03-01,526
2017-04-01,165
2017-05-01,163
2017-06-01,95
2017-07-01,136
2017-08-01,83
2017-09-01,81
2017-10-01,94
2017-11-01,97
2017-12-01,76
2018-01-01,77
2018-02-01,83
2018-03-01,117
2018-04-01,112
2018-05-01,53
2018-06-01,101
2018-07-01,69
2018-08-01,80
2018-09-01,74
2018-10-01,60
2018-11-01,70
2018-12-01,67
2019-01-01,76
2019-02-01,73
2019-03-01,72
2019-04-01,122
2019-05-01,97
2019-06-01,53
2019-07-01,70
2019-08-01,55
2019-09-01,77
2019-10-01,65
2019-11-01,52
2019-12-01,70
2020-01-01,52
2020-02-01,47
2020-03-01,59
2020-04-01,50
2020-05-01,48
2020-06-01,43
2020-07-01,51
2020-08-01,53
2020-09-01,55
2020-10-01,38
2020-11-01,58
2020-12-01,54
2021-01-01,40
2021-02-01,37
2021-03-01,56
2021-04-01,46
2021-05-01,40
2021-06-01,43
2021-07-01,65
2021-08-01,41
2021-09-01,39
2021-10-01,58
2021-11-01,28
2021-12-01,34
2022-01-01,35
2022-02-01,29
2022-03-01,24
2022-04-01,25
2022-05-01,30
2022-06-01,35
2022-07-01,39
2022-08-01,41
2022-09-01,28
2022-10-01,23
2022-11-01,23
2022-12-01,29
2023-01-01,21
2023-02-01,31
2023-03-01,31
2023-04-01,43
2023-05-01,11
2023-06-01,10
