year_month,count
2010-01-01,1057
2010-02-01,232
2010-03-01,92
2010-04-01,89
2010-05-01,97
2010-06-01,89
2010-07-01,88
2010-08-01,84
2010-09-01,100
2010-10-01,93
2010-11-01,89
2010-12-01,98
2011-01-01,97
2011-02-01,102
2011-03-01,124
2011-04-01,116
2011-05-01,100
2011-06-01,98
2011-07-01,87
2011-08-01,84
2011-09-01,86
2011-10-01,90
2011-11-01,77
2011-12-01,78
2012-01-01,83
2012-02-01,70
2012-03-01,66
2012-04-01,63
2012-05-01,52
2012-06-01,41
2012-07-01,46
2012-08-01,31
2012-09-01,19
2012-10-01,10
2012-11-01,13
2012-12-01,5
2013-01-01,5
2013-02-01,48
2013-03-01,96
2013-04-01,105
2013-05-01,122
2013-06-01,177
2013-07-01,199
2013-08-01,191
2013-09-01,169
2013-10-01,215
2013-11-01,152
2013-12-01,388
2014-01-01,323
2014-02-01,242
2014-03-01,959
2014-04-01,331
2014-05-01,203
2014-06-01,164
2014-07-01,179
2014-08-01,157
2014-09-01,183
2014-10-01,245
2014-11-01,226
2014-12-01,242
2015-01-01,269
2015-02-01,201
2015-03-01,348
2015-04-01,244
2015-05-01,180
2015-06-01,187
2015-07-01,218
2015-08-01,187
2015-09-01,161
2015-10-01,169
2015-11-01,162
2015-12-01,166
2016-01-01,135
2016-02-01,92
2016-03-01,90
2016-04-01,115
2016-05-01,143
2016-06-01,121
2016-07-01,96
2016-08-01,88
2016-09-01,99
2016-10-01,130
2016-11-01,78
2016-12-01,84
2017-01-01,85
2017-02-01,89
2017-03-01,106
2017-04-01,105
2017-05-01,84
2017-06-01,83
2017-07-01,62
2017-08-01,72
2017-09-01,113
2017-10-01,93
2017-11-01,96
2017-12-01,76
2018-01-01,60
2018-02-01,67
2018-03-01,83
2018-04-01,93
2018-05-01,80
2018-06-01,81
2018-07-01,65
2018-08-01,65
2018-09-01,122
2018-10-01,78
2018-11-01,68
2018-12-01,82
2019-01-01,80
2019-02-01,85
2019-03-01,93
2019-04-01,66
2019-05-01,68
2019-06-01,49
2019-07-01,67
2019-08-01,77
2019-09-01,68
2019-10-01,57
2019-11-01,61
2019-12-01,79
2020-01-01,47
2020-02-01,45
2020-03-01,54
2020-04-01,57
2020-05-01,75
2020-06-01,45
2020-07-01,60
2020-08-01,52
2020-09-01,40
2020-10-01,42
2020-11-01,51
2020-12-01,63
2021-01-01,43
2021-02-01,35
2021-03-01,45
2021-04-01,45
2021-05-01,49
2021-06-01,45
2021-07-01,41
2021-08-01,37
2021-09-01,43
2021-10-01,45
2021-11-01,41
2021-12-01,38
2022-01-01,39
2022-02-01,40
2022-03-01,32
2022-04-01,38
2022-05-01,30
2022-06-01,35
2022-07-01,63
2022-08-01,63
2022-09-01,41
2022-10-01,48
2022-11-01,41
2022-12-01,31
2023-01-01,54
2023-02-01,39
2023-03-01,53
2023-04-01,56
2023-05-01,54
2023-06-01,35
