year_month,count
2014-12-01,3
2015-01-01,1153
2015-02-01,269
2015-03-01,241
2015-04-01,220
2015-05-01,289
2015-06-01,180
2015-07-01,362
2015-08-01,257
2015-09-01,238
2015-10-01,490
2015-11-01,482
2015-12-01,392
2016-01-01,408
2016-02-01,462
2016-03-01,797
2016-04-01,645
2016-05-01,772
2016-06-01,709
2016-07-01,640
2016-08-01,888
2016-09-01,669
2016-10-01,590
2016-11-01,596
2016-12-01,555
2017-01-01,514
2017-02-01,505
2017-03-01,708
2017-04-01,588
2017-05-01,576
2017-06-01,536
2017-07-01,461
2017-08-01,604
2017-09-01,593
2017-10-01,516
2017-11-01,489
2017-12-01,502
2018-01-01,492
2018-02-01,341
2018-03-01,422
2018-04-01,379
2018-05-01,409
2018-06-01,294
2018-07-01,323
2018-08-01,327
2018-09-01,343
2018-10-01,344
2018-11-01,279
2018-12-01,291
2019-01-01,251
2019-02-01,340
2019-03-01,248
2019-04-01,347
2019-05-01,314
2019-06-01,412
2019-07-01,287
2019-08-01,325
2019-09-01,424
2019-10-01,318
2019-11-01,326
2019-12-01,209
2020-01-01,196
2020-02-01,213
2020-03-01,257
2020-04-01,244
2020-05-01,226
2020-06-01,381
2020-07-01,201
2020-08-01,298
2020-09-01,202
2020-10-01,205
2020-11-01,197
2020-12-01,587
2021-01-01,211
2021-02-01,393
2021-03-01,218
2021-04-01,180
2021-05-01,600
2021-06-01,170
2021-07-01,178
2021-08-01,151
2021-09-01,184
2021-10-01,191
2021-11-01,193
2021-12-01,142
2022-01-01,578
2022-02-01,183
2022-03-01,217
2022-04-01,514
2022-05-01,175
2022-06-01,518
2022-07-01,152
2022-08-01,148
2022-09-01,168
2022-10-01,144
2022-11-01,127
2022-12-01,115
2023-01-01,236
2023-02-01,270
2023-03-01,196
2023-04-01,151
2023-05-01,316
2023-06-01,108
