year_month,count
2012-05-01,633
2012-06-01,9
2012-07-01,3
2012-08-01,3
2012-09-01,1
2012-10-01,1
2012-11-01,2
2013-01-01,3
2013-02-01,54
2013-03-01,86
2013-04-01,279
2013-05-01,254
2013-06-01,73
2013-07-01,59
2013-08-01,132
2013-09-01,72
2013-10-01,188
2013-11-01,109
2013-12-01,87
2014-01-01,94
2014-02-01,67
2014-03-01,73
2014-04-01,72
2014-05-01,79
2014-06-01,59
2014-07-01,92
2014-08-01,90
2014-09-01,95
2014-10-01,95
2014-11-01,94
2014-12-01,94
2015-01-01,95
2015-02-01,88
2015-03-01,104
2015-04-01,95
2015-05-01,291
2015-06-01,94
2015-07-01,181
2015-08-01,102
2015-09-01,154
2015-10-01,112
2015-11-01,128
2015-12-01,161
2016-01-01,182
2016-02-01,165
2016-03-01,164
2016-04-01,185
2016-05-01,175
2016-06-01,130
2016-07-01,119
2016-08-01,131
2016-09-01,118
2016-10-01,105
2016-11-01,127
2016-12-01,105
2017-01-01,128
2017-02-01,141
2017-03-01,139
2017-04-01,140
2017-05-01,218
2017-06-01,131
2017-07-01,139
2017-08-01,97
2017-09-01,145
2017-10-01,217
2017-11-01,155
2017-12-01,233
2018-01-01,185
2018-02-01,172
2018-03-01,208
2018-04-01,172
2018-05-01,163
2018-06-01,158
2018-07-01,204
2018-08-01,156
2018-09-01,226
2018-10-01,167
2018-11-01,243
2018-12-01,527
2019-01-01,487
2019-02-01,320
2019-03-01,282
2019-04-01,230
2019-05-01,222
2019-06-01,245
2019-07-01,170
2019-08-01,142
2019-09-01,155
2019-10-01,177
2019-11-01,146
2019-12-01,167
2020-01-01,180
2020-02-01,167
2020-03-01,183
2020-04-01,230
2020-05-01,178
2020-06-01,170
2020-07-01,118
2020-08-01,126
2020-09-01,149
2020-10-01,151
2020-11-01,170
2020-12-01,161
2021-01-01,175
2021-02-01,154
2021-03-01,257
2021-04-01,133
2021-05-01,180
2021-06-01,113
2021-07-01,135
2021-08-01,164
2021-09-01,137
2021-10-01,160
2021-11-01,210
2021-12-01,179
2022-01-01,193
2022-02-01,191
2022-03-01,352
2022-04-01,201
2022-05-01,184
2022-06-01,165
2022-07-01,183
2022-08-01,207
2022-09-01,199
2022-10-01,162
2022-11-01,186
2022-12-01,146
2023-01-01,351
2023-02-01,635
2023-03-01,260
2023-04-01,192
2023-05-01,223
2023-06-01,166
