year_month,count
2011-06-01,51
2011-07-01,2
2011-08-01,4
2011-09-01,3
2011-10-01,1
2011-11-01,1
2011-12-01,3
2012-01-01,5
2012-04-01,1
2012-05-01,3
2012-06-01,3
2012-07-01,1
2012-08-01,1
2012-09-01,1
2012-10-01,1
2012-11-01,2
2012-12-01,1
2013-01-01,1
2013-02-01,5
2013-03-01,7
2013-04-01,6
2013-05-01,6
2013-06-01,7
2013-07-01,13
2013-08-01,14
2013-09-01,21
2013-10-01,21
2013-11-01,26
2013-12-01,10
2014-01-01,15
2014-02-01,7
2014-03-01,18
2014-04-01,20
2014-05-01,38
2014-06-01,19
2014-07-01,24
2014-08-01,18
2014-09-01,31
2014-10-01,18
2014-11-01,26
2014-12-01,18
2015-01-01,31
2015-02-01,18
2015-03-01,27
2015-04-01,31
2015-05-01,28
2015-06-01,25
2015-07-01,79
2015-08-01,35
2015-09-01,29
2015-10-01,33
2015-11-01,34
2015-12-01,43
2016-01-01,58
2016-02-01,40
2016-03-01,49
2016-04-01,49
2016-05-01,36
2016-06-01,34
2016-07-01,36
2016-08-01,42
2016-09-01,128
2016-10-01,54
2016-11-01,47
2016-12-01,46
2017-01-01,72
2017-02-01,120
2017-03-01,91
2017-04-01,58
2017-05-01,70
2017-06-01,49
2017-07-01,95
2017-08-01,60
2017-09-01,76
2017-10-01,104
2017-11-01,110
2017-12-01,70
2018-01-01,96
2018-02-01,77
2018-03-01,80
2018-04-01,86
2018-05-01,86
2018-06-01,76
2018-07-01,220
2018-08-01,221
2018-09-01,99
2018-10-01,88
2018-11-01,113
2018-12-01,107
2019-01-01,115
2019-02-01,135
2019-03-01,236
2019-04-01,116
2019-05-01,100
2019-06-01,90
2019-07-01,118
2019-08-01,105
2019-09-01,97
2019-10-01,78
2019-11-01,93
2019-12-01,116
2020-01-01,105
2020-02-01,136
2020-03-01,132
2020-04-01,156
2020-05-01,234
2020-06-01,152
2020-07-01,170
2020-08-01,146
2020-09-01,140
2020-10-01,153
2020-11-01,157
2020-12-01,199
2021-01-01,189
2021-02-01,161
2021-03-01,241
2021-04-01,272
2021-05-01,496
2021-06-01,214
2021-07-01,211
2021-08-01,233
2021-09-01,203
2021-10-01,283
2021-11-01,193
2021-12-01,199
2022-01-01,224
2022-02-01,167
2022-03-01,239
2022-04-01,194
2022-05-01,181
2022-06-01,218
2022-07-01,163
2022-08-01,184
2022-09-01,209
2022-10-01,208
2022-11-01,161
2022-12-01,185
2023-01-01,242
2023-02-01,213
2023-03-01,266
2023-04-01,351
2023-05-01,455
2023-06-01,273
