year_month,count
2015-07-01,7
2015-08-01,6
2015-09-01,11
2015-10-01,11
2015-11-01,9
2015-12-01,11
2016-01-01,10
2016-02-01,11
2016-03-01,15
2016-04-01,13
2016-05-01,7
2016-06-01,13
2016-07-01,12
2016-08-01,19
2016-09-01,15
2016-10-01,12
2016-11-01,12
2016-12-01,16
2017-01-01,19
2017-02-01,12
2017-03-01,13
2017-04-01,16
2017-05-01,14
2017-06-01,14
2017-07-01,15
2017-08-01,18
2017-09-01,20
2017-10-01,11
2017-11-01,23
2017-12-01,12
2018-01-01,18
2018-02-01,17
2018-03-01,28
2018-04-01,24
2018-05-01,19
2018-06-01,28
2018-07-01,30
2018-08-01,29
2018-09-01,29
2018-10-01,39
2018-11-01,50
2018-12-01,30
2019-01-01,79
2019-02-01,20
2019-03-01,140
2019-04-01,113
2019-05-01,18
2019-06-01,33
2019-07-01,30
2019-08-01,31
2019-09-01,148
2019-10-01,31
2019-11-01,27
2019-12-01,25
2020-01-01,42
2020-02-01,42
2020-03-01,26
2020-04-01,29
2020-05-01,42
2020-06-01,43
2020-07-01,40
2020-08-01,34
2020-09-01,30
2020-10-01,33
2020-11-01,23
2020-12-01,28
2021-01-01,30
2021-02-01,20
2021-03-01,25
2021-04-01,23
2021-05-01,30
2021-06-01,21
2021-07-01,39
2021-08-01,40
2021-09-01,36
2021-10-01,27
2021-11-01,44
2021-12-01,55
2022-01-01,57
2022-02-01,70
2022-03-01,84
2022-04-01,56
2022-05-01,64
2022-06-01,52
2022-07-01,52
2022-08-01,42
2022-09-01,55
2022-10-01,63
2022-11-01,38
2022-12-01,27
2023-01-01,48
2023-02-01,48
2023-03-01,63
2023-04-01,52
2023-05-01,49
2023-06-01,67
