year_month,count
2014-12-01,4379
2015-01-01,673
2015-02-01,562
2015-03-01,570
2015-04-01,465
2015-05-01,507
2015-06-01,470
2015-07-01,610
2015-08-01,744
2015-09-01,661
2015-10-01,591
2015-11-01,719
2015-12-01,740
2016-01-01,638
2016-02-01,653
2016-03-01,802
2016-04-01,666
2016-05-01,741
2016-06-01,694
2016-07-01,736
2016-08-01,853
2016-09-01,831
2016-10-01,914
2016-11-01,731
2016-12-01,724
2017-01-01,958
2017-02-01,1061
2017-03-01,944
2017-04-01,954
2017-05-01,935
2017-06-01,860
2017-07-01,1059
2017-08-01,981
2017-09-01,936
2017-10-01,1176
2017-11-01,1072
2017-12-01,1017
2018-01-01,1130
2018-02-01,1129
2018-03-01,1274
2018-04-01,1221
2018-05-01,1203
2018-06-01,1253
2018-07-01,1379
2018-08-01,1358
2018-09-01,1204
2018-10-01,1112
2018-11-01,1333
2018-12-01,1310
2019-01-01,1321
2019-02-01,1044
2019-03-01,1615
2019-04-01,1855
2019-05-01,1477
2019-06-01,1236
2019-07-01,1389
2019-08-01,1292
2019-09-01,1210
2019-10-01,1275
2019-11-01,1093
2019-12-01,1103
2020-01-01,1051
2020-02-01,976
2020-03-01,1246
2020-04-01,1252
2020-05-01,1202
2020-06-01,954
2020-07-01,1081
2020-08-01,1142
2020-09-01,1079
2020-10-01,983
2020-11-01,1272
2020-12-01,1108
2021-01-01,1118
2021-02-01,1333
2021-03-01,1258
2021-04-01,1183
2021-05-01,1286
2021-06-01,1081
2021-07-01,1050
2021-08-01,1101
2021-09-01,1106
2021-10-01,1445
2021-11-01,1036
2021-12-01,1264
2022-01-01,1244
2022-02-01,1096
2022-03-01,1441
2022-04-01,1407
2022-05-01,1291
2022-06-01,1582
2022-07-01,1152
2022-08-01,1254
2022-09-01,1014
2022-10-01,1199
2022-11-01,1018
2022-12-01,1100
2023-01-01,939
2023-02-01,1122
2023-03-01,1051
2023-04-01,1195
2023-05-01,1113
2023-06-01,732
