year_month,count
2014-04-01,25
2014-05-01,118
2014-06-01,109
2014-07-01,90
2014-08-01,90
2014-09-01,94
2014-10-01,101
2014-11-01,78
2014-12-01,81
2015-01-01,95
2015-02-01,82
2015-03-01,131
2015-04-01,88
2015-05-01,40
2015-06-01,56
2015-07-01,75
2015-08-01,85
2015-09-01,74
2015-10-01,69
2015-11-01,55
2015-12-01,65
2016-01-01,67
2016-02-01,115
2016-03-01,69
2016-04-01,59
2016-05-01,75
2016-06-01,65
2016-07-01,57
2016-08-01,121
2016-09-01,110
2016-10-01,80
2016-11-01,73
2016-12-01,107
2017-01-01,67
2017-02-01,71
2017-03-01,82
2017-04-01,71
2017-05-01,82
2017-06-01,70
2017-07-01,71
2017-08-01,69
2017-09-01,67
2017-10-01,71
2017-11-01,136
2017-12-01,62
2018-01-01,77
2018-02-01,60
2018-03-01,66
2018-04-01,60
2018-05-01,56
2018-06-01,54
2018-07-01,61
2018-08-01,71
2018-09-01,60
2018-10-01,52
2018-11-01,59
2018-12-01,81
2019-01-01,64
2019-02-01,58
2019-03-01,75
2019-04-01,64
2019-05-01,81
2019-06-01,53
2019-07-01,53
2019-08-01,61
2019-09-01,41
2019-10-01,47
2019-11-01,51
2019-12-01,34
2020-01-01,40
2020-02-01,66
2020-03-01,48
2020-04-01,51
2020-05-01,57
2020-06-01,36
2020-07-01,48
2020-08-01,41
2020-09-01,56
2020-10-01,38
2020-11-01,39
2020-12-01,30
2021-01-01,54
2021-02-01,37
2021-03-01,37
2021-04-01,61
2021-05-01,52
2021-06-01,34
2021-07-01,60
2021-08-01,52
2021-09-01,52
2021-10-01,58
2021-11-01,36
2021-12-01,38
2022-01-01,44
2022-02-01,47
2022-03-01,36
2022-04-01,41
2022-05-01,53
2022-06-01,31
2022-07-01,40
2022-08-01,50
2022-09-01,42
2022-10-01,39
2022-11-01,39
2022-12-01,29
2023-01-01,31
2023-02-01,36
2023-03-01,41
2023-04-01,36
2023-05-01,44
2023-06-01,134
