year_month,count
2014-06-01,275
2014-07-01,158
2014-08-01,51
2014-09-01,47
2014-10-01,40
2014-11-01,66
2014-12-01,62
2015-01-01,91
2015-02-01,92
2015-03-01,97
2015-04-01,110
2015-05-01,111
2015-06-01,119
2015-07-01,118
2015-08-01,111
2015-09-01,123
2015-10-01,160
2015-11-01,163
2015-12-01,166
2016-01-01,186
2016-02-01,153
2016-03-01,206
2016-04-01,209
2016-05-01,301
2016-06-01,240
2016-07-01,217
2016-08-01,257
2016-09-01,222
2016-10-01,235
2016-11-01,257
2016-12-01,343
2017-01-01,212
2017-02-01,227
2017-03-01,278
2017-04-01,222
2017-05-01,316
2017-06-01,356
2017-07-01,267
2017-08-01,281
2017-09-01,233
2017-10-01,243
2017-11-01,239
2017-12-01,263
2018-01-01,287
2018-02-01,236
2018-03-01,301
2018-04-01,267
2018-05-01,329
2018-06-01,231
2018-07-01,308
2018-08-01,284
2018-09-01,264
2018-10-01,281
2018-11-01,241
2018-12-01,252
2019-01-01,235
2019-02-01,165
2019-03-01,253
2019-04-01,276
2019-05-01,245
2019-06-01,261
2019-07-01,231
2019-08-01,224
2019-09-01,190
2019-10-01,208
2019-11-01,211
2019-12-01,227
2020-01-01,167
2020-02-01,151
2020-03-01,232
2020-04-01,213
2020-05-01,233
2020-06-01,196
2020-07-01,222
2020-08-01,195
2020-09-01,213
2020-10-01,155
2020-11-01,272
2020-12-01,146
2021-01-01,215
2021-02-01,145
2021-03-01,153
2021-04-01,166
2021-05-01,143
2021-06-01,175
2021-07-01,151
2021-08-01,150
2021-09-01,141
2021-10-01,129
2021-11-01,135
2021-12-01,145
2022-01-01,152
2022-02-01,176
2022-03-01,162
2022-04-01,144
2022-05-01,121
2022-06-01,139
2022-07-01,152
2022-08-01,141
2022-09-01,131
2022-10-01,139
2022-11-01,154
2022-12-01,131
2023-01-01,102
2023-02-01,127
2023-03-01,144
2023-04-01,141
2023-05-01,94
2023-06-01,83
