year_month,count
2015-01-01,2
2015-02-01,1095
2015-03-01,961
2015-04-01,145
2015-05-01,132
2015-06-01,146
2015-07-01,156
2015-08-01,186
2015-09-01,150
2015-10-01,220
2015-11-01,169
2015-12-01,152
2016-01-01,186
2016-02-01,197
2016-03-01,264
2016-04-01,254
2016-05-01,211
2016-06-01,221
2016-07-01,335
2016-08-01,914
2016-09-01,597
2016-10-01,296
2016-11-01,262
2016-12-01,279
2017-01-01,263
2017-02-01,294
2017-03-01,373
2017-04-01,379
2017-05-01,411
2017-06-01,360
2017-07-01,376
2017-08-01,393
2017-09-01,454
2017-10-01,453
2017-11-01,436
2017-12-01,382
2018-01-01,453
2018-02-01,415
2018-03-01,657
2018-04-01,468
2018-05-01,542
2018-06-01,446
2018-07-01,424
2018-08-01,417
2018-09-01,474
2018-10-01,410
2018-11-01,487
2018-12-01,428
2019-01-01,602
2019-02-01,420
2019-03-01,538
2019-04-01,569
2019-05-01,528
2019-06-01,459
2019-07-01,494
2019-08-01,512
2019-09-01,440
2019-10-01,416
2019-11-01,365
2019-12-01,371
2020-01-01,299
2020-02-01,298
2020-03-01,379
2020-04-01,474
2020-05-01,463
2020-06-01,419
2020-07-01,364
2020-08-01,339
2020-09-01,319
2020-10-01,349
2020-11-01,386
2020-12-01,390
2021-01-01,393
2021-02-01,309
2021-03-01,384
2021-04-01,355
2021-05-01,312
2021-06-01,325
2021-07-01,592
2021-08-01,315
2021-09-01,333
2021-10-01,308
2021-11-01,322
2021-12-01,478
2022-01-01,285
2022-02-01,272
2022-03-01,385
2022-04-01,355
2022-05-01,352
2022-06-01,384
2022-07-01,330
2022-08-01,337
2022-09-01,363
2022-10-01,382
2022-11-01,347
2022-12-01,252
2023-01-01,305
2023-02-01,284
2023-03-01,349
2023-04-01,339
2023-05-01,333
2023-06-01,261
