year_month,count
2015-11-01,1
2016-04-01,1
2016-05-01,2
2016-06-01,609
2016-07-01,65
2016-08-01,52
2016-09-01,28
2016-10-01,52
2016-11-01,28
2016-12-01,19
2017-01-01,18
2017-02-01,24
2017-03-01,29
2017-04-01,27
2017-05-01,46
2017-06-01,37
2017-07-01,35
2017-08-01,33
2017-09-01,38
2017-10-01,50
2017-11-01,19
2017-12-01,49
2018-01-01,30
2018-02-01,29
2018-03-01,25
2018-04-01,35
2018-05-01,66
2018-06-01,33
2018-07-01,62
2018-08-01,33
2018-09-01,40
2018-10-01,34
2018-11-01,34
2018-12-01,26
2019-01-01,24
2019-02-01,28
2019-03-01,43
2019-04-01,26
2019-05-01,28
2019-06-01,32
2019-07-01,29
2019-08-01,34
2019-09-01,24
2019-10-01,48
2019-11-01,18
2019-12-01,17
2020-01-01,12
2020-02-01,21
2020-03-01,8
2020-04-01,15
2020-05-01,14
2020-06-01,15
2020-07-01,10
2020-08-01,12
2020-09-01,12
2020-10-01,6
2020-11-01,8
2020-12-01,10
2021-01-01,7
2021-02-01,6
2021-03-01,12
2021-04-01,9
2021-05-01,4
2021-06-01,6
2021-07-01,10
2021-08-01,14
2021-09-01,5
2021-10-01,5
2021-11-01,9
2021-12-01,10
2022-01-01,10
2022-02-01,9
2022-03-01,14
2022-04-01,5
2022-05-01,9
2022-06-01,8
2022-07-01,4
2022-08-01,7
2022-09-01,15
2022-10-01,11
2022-11-01,6
2022-12-01,13
2023-01-01,9
2023-02-01,12
2023-03-01,18
2023-04-01,10
2023-05-01,12
2023-06-01,16
