year_month,count
2015-06-01,1
2015-09-01,550
2015-10-01,352
2015-11-01,108
2015-12-01,60
2016-01-01,72
2016-02-01,74
2016-03-01,94
2016-04-01,67
2016-05-01,77
2016-06-01,67
2016-07-01,53
2016-08-01,72
2016-09-01,74
2016-10-01,59
2016-11-01,72
2016-12-01,62
2017-01-01,61
2017-02-01,75
2017-03-01,99
2017-04-01,63
2017-05-01,65
2017-06-01,76
2017-07-01,96
2017-08-01,97
2017-09-01,78
2017-10-01,105
2017-11-01,108
2017-12-01,74
2018-01-01,93
2018-02-01,84
2018-03-01,82
2018-04-01,77
2018-05-01,103
2018-06-01,73
2018-07-01,84
2018-08-01,72
2018-09-01,97
2018-10-01,69
2018-11-01,93
2018-12-01,74
2019-01-01,110
2019-02-01,87
2019-03-01,191
2019-04-01,163
2019-05-01,105
2019-06-01,98
2019-07-01,106
2019-08-01,152
2019-09-01,126
2019-10-01,88
2019-11-01,110
2019-12-01,95
2020-01-01,163
2020-02-01,91
2020-03-01,118
2020-04-01,129
2020-05-01,128
2020-06-01,231
2020-07-01,107
2020-08-01,102
2020-09-01,106
2020-10-01,274
2020-11-01,119
2020-12-01,403
2021-01-01,383
2021-02-01,194
2021-03-01,148
2021-04-01,143
2021-05-01,120
2021-06-01,148
2021-07-01,142
2021-08-01,132
2021-09-01,944
2021-10-01,230
2021-11-01,134
2021-12-01,128
2022-01-01,180
2022-02-01,122
2022-03-01,146
2022-04-01,180
2022-05-01,158
2022-06-01,625
2022-07-01,314
2022-08-01,142
2022-09-01,151
2022-10-01,466
2022-11-01,133
2022-12-01,102
2023-01-01,200
2023-02-01,115
2023-03-01,165
2023-04-01,135
2023-05-01,119
2023-06-01,95
