year_month,count
2017-06-01,63
2017-07-01,55
2017-08-01,97
2017-09-01,72
2017-10-01,108
2017-11-01,97
2017-12-01,98
2018-01-01,107
2018-02-01,105
2018-03-01,113
2018-04-01,96
2018-05-01,89
2018-06-01,117
2018-07-01,83
2018-08-01,105
2018-09-01,108
2018-10-01,119
2018-11-01,96
2018-12-01,116
2019-01-01,121
2019-02-01,107
2019-03-01,155
2019-04-01,118
2019-05-01,118
2019-06-01,116
2019-07-01,137
2019-08-01,124
2019-09-01,119
2019-10-01,127
2019-11-01,126
2019-12-01,122
2020-01-01,147
2020-02-01,185
2020-03-01,133
2020-04-01,150
2020-05-01,125
2020-06-01,163
2020-07-01,147
2020-08-01,111
2020-09-01,138
2020-10-01,149
2020-11-01,99
2020-12-01,124
2021-01-01,119
2021-02-01,205
2021-03-01,143
2021-04-01,98
2021-05-01,118
2021-06-01,113
2021-07-01,113
2021-08-01,155
2021-09-01,125
2021-10-01,111
2021-11-01,104
2021-12-01,99
2022-01-01,162
2022-02-01,133
2022-03-01,145
2022-04-01,148
2022-05-01,113
2022-06-01,168
2022-07-01,84
2022-08-01,113
2022-09-01,100
2022-10-01,101
2022-11-01,117
2022-12-01,116
2023-01-01,96
2023-02-01,134
2023-03-01,116
2023-04-01,100
2023-05-01,103
2023-06-01,105
