year_month,count
2010-01-01,1145
2010-02-01,54
2010-03-01,55
2010-04-01,53
2010-05-01,54
2010-06-01,50
2010-07-01,50
2010-08-01,51
2010-09-01,56
2010-10-01,64
2010-11-01,39
2010-12-01,57
2011-01-01,57
2011-02-01,63
2011-03-01,55
2011-04-01,38
2011-05-01,48
2011-06-01,46
2011-07-01,43
2011-08-01,34
2011-09-01,33
2011-10-01,27
2011-11-01,36
2011-12-01,22
2012-01-01,31
2012-02-01,32
2012-03-01,22
2012-04-01,22
2012-05-01,16
2012-06-01,22
2012-07-01,15
2012-08-01,9
2012-09-01,7
2012-10-01,3
2012-11-01,3
2012-12-01,1
2013-01-01,3
2013-02-01,107
2013-03-01,210
2013-04-01,211
2013-05-01,158
2013-06-01,161
2013-07-01,215
2013-08-01,235
2013-09-01,229
2013-10-01,247
2013-11-01,232
2013-12-01,229
2014-01-01,224
2014-02-01,222
2014-03-01,283
2014-04-01,272
2014-05-01,260
2014-06-01,167
2014-07-01,212
2014-08-01,216
2014-09-01,197
2014-10-01,229
2014-11-01,191
2014-12-01,181
2015-01-01,186
2015-02-01,175
2015-03-01,213
2015-04-01,208
2015-05-01,202
2015-06-01,233
2015-07-01,243
2015-08-01,189
2015-09-01,198
2015-10-01,211
2015-11-01,198
2015-12-01,171
2016-01-01,246
2016-02-01,274
2016-03-01,266
2016-04-01,234
2016-05-01,237
2016-06-01,227
2016-07-01,283
2016-08-01,264
2016-09-01,205
2016-10-01,220
2016-11-01,217
2016-12-01,169
2017-01-01,187
2017-02-01,215
2017-03-01,226
2017-04-01,177
2017-05-01,157
2017-06-01,149
2017-07-01,177
2017-08-01,188
2017-09-01,189
2017-10-01,235
2017-11-01,196
2017-12-01,155
2018-01-01,194
2018-02-01,155
2018-03-01,206
2018-04-01,171
2018-05-01,140
2018-06-01,162
2018-07-01,146
2018-08-01,148
2018-09-01,148
2018-10-01,175
2018-11-01,165
2018-12-01,138
2019-01-01,182
2019-02-01,126
2019-03-01,174
2019-04-01,152
2019-05-01,147
2019-06-01,153
2019-07-01,134
2019-08-01,136
2019-09-01,109
2019-10-01,146
2019-11-01,147
2019-12-01,101
2020-01-01,133
2020-02-01,130
2020-03-01,126
2020-04-01,152
2020-05-01,154
2020-06-01,221
2020-07-01,218
2020-08-01,218
2020-09-01,166
2020-10-01,209
2020-11-01,175
2020-12-01,181
2021-01-01,183
2021-02-01,161
2021-03-01,175
2021-04-01,169
2021-05-01,154
2021-06-01,190
2021-07-01,181
2021-08-01,179
2021-09-01,161
2021-10-01,182
2021-11-01,198
2021-12-01,149
2022-01-01,171
2022-02-01,156
2022-03-01,166
2022-04-01,159
2022-05-01,157
2022-06-01,165
2022-07-01,179
2022-08-01,152
2022-09-01,136
2022-10-01,218
2022-11-01,130
2022-12-01,130
2023-01-01,120
2023-02-01,104
2023-03-01,117
2023-04-01,118
2023-05-01,125
2023-06-01,116
