year_month,count
2016-03-01,3
2016-04-01,672
2016-05-01,455
2016-06-01,401
2016-07-01,473
2016-08-01,527
2016-09-01,792
2016-10-01,519
2016-11-01,570
2016-12-01,439
2017-01-01,402
2017-02-01,421
2017-03-01,414
2017-04-01,321
2017-05-01,335
2017-06-01,314
2017-07-01,345
2017-08-01,324
2017-09-01,362
2017-10-01,494
2017-11-01,458
2017-12-01,407
2018-01-01,420
2018-02-01,379
2018-03-01,420
2018-04-01,375
2018-05-01,374
2018-06-01,366
2018-07-01,372
2018-08-01,555
2018-09-01,534
2018-10-01,467
2018-11-01,374
2018-12-01,360
2019-01-01,512
2019-02-01,437
2019-03-01,457
2019-04-01,398
2019-05-01,417
2019-06-01,343
2019-07-01,364
2019-08-01,320
2019-09-01,346
2019-10-01,370
2019-11-01,296
2019-12-01,379
2020-01-01,255
2020-02-01,305
2020-03-01,322
2020-04-01,386
2020-05-01,344
2020-06-01,412
2020-07-01,435
2020-08-01,349
2020-09-01,305
2020-10-01,352
2020-11-01,802
2020-12-01,775
2021-01-01,503
2021-02-01,1306
2021-03-01,425
2021-04-01,424
2021-05-01,357
2021-06-01,297
2021-07-01,327
2021-08-01,380
2021-09-01,325
2021-10-01,352
2021-11-01,517
2021-12-01,374
2022-01-01,420
2022-02-01,404
2022-03-01,425
2022-04-01,426
2022-05-01,337
2022-06-01,350
2022-07-01,366
2022-08-01,354
2022-09-01,328
2022-10-01,354
2022-11-01,352
2022-12-01,300
2023-01-01,359
2023-02-01,446
2023-03-01,427
2023-04-01,352
2023-05-01,371
2023-06-01,325
