year_month,count
2019-04-01,128
2019-05-01,47
2019-06-01,57
2019-07-01,43
2019-08-01,26
2019-09-01,44
2019-10-01,57
2019-11-01,43
2019-12-01,21
2020-01-01,23
2020-02-01,30
2020-03-01,26
2020-04-01,35
2020-05-01,52
2020-06-01,34
2020-07-01,44
2020-08-01,69
2020-09-01,62
2020-10-01,52
2020-11-01,47
2020-12-01,73
2021-01-01,138
2021-02-01,162
2021-03-01,131
2021-04-01,139
2021-05-01,176
2021-06-01,142
2021-07-01,97
2021-08-01,121
2021-09-01,118
2021-10-01,744
2021-11-01,205
2021-12-01,152
2022-01-01,134
2022-02-01,181
2022-03-01,142
2022-04-01,144
2022-05-01,163
2022-06-01,160
2022-07-01,157
2022-08-01,148
2022-09-01,131
2022-10-01,112
2022-11-01,124
2022-12-01,141
2023-01-01,155
2023-02-01,133
2023-03-01,231
2023-04-01,148
2023-05-01,151
2023-06-01,125
2023-07-01,3
