year_month,count
2013-10-01,3
2013-11-01,788
2013-12-01,124
2014-01-01,233
2014-02-01,139
2014-03-01,200
2014-04-01,187
2014-05-01,213
2014-06-01,184
2014-07-01,207
2014-08-01,250
2014-09-01,223
2014-10-01,245
2014-11-01,250
2014-12-01,361
2015-01-01,303
2015-02-01,198
2015-03-01,301
2015-04-01,290
2015-05-01,206
2015-06-01,259
2015-07-01,194
2015-08-01,197
2015-09-01,240
2015-10-01,205
2015-11-01,209
2015-12-01,216
2016-01-01,200
2016-02-01,204
2016-03-01,219
2016-04-01,215
2016-05-01,218
2016-06-01,183
2016-07-01,177
2016-08-01,195
2016-09-01,232
2016-10-01,151
2016-11-01,171
2016-12-01,215
2017-01-01,209
2017-02-01,225
2017-03-01,273
2017-04-01,228
2017-05-01,212
2017-06-01,243
2017-07-01,218
2017-08-01,224
2017-09-01,206
2017-10-01,202
2017-11-01,236
2017-12-01,209
2018-01-01,232
2018-02-01,220
2018-03-01,291
2018-04-01,267
2018-05-01,251
2018-06-01,208
2018-07-01,244
2018-08-01,265
2018-09-01,250
2018-10-01,224
2018-11-01,274
2018-12-01,236
2019-01-01,295
2019-02-01,208
2019-03-01,233
2019-04-01,266
2019-05-01,281
2019-06-01,214
2019-07-01,395
2019-08-01,211
2019-09-01,197
2019-10-01,215
2019-11-01,205
2019-12-01,186
2020-01-01,199
2020-02-01,172
2020-03-01,189
2020-04-01,199
2020-05-01,224
2020-06-01,170
2020-07-01,195
2020-08-01,154
2020-09-01,215
2020-10-01,152
2020-11-01,239
2020-12-01,215
2021-01-01,199
2021-02-01,167
2021-03-01,623
2021-04-01,192
2021-05-01,157
2021-06-01,194
2021-07-01,174
2021-08-01,191
2021-09-01,149
2021-10-01,152
2021-11-01,190
2021-12-01,171
2022-01-01,202
2022-02-01,276
2022-03-01,181
2022-04-01,174
2022-05-01,188
2022-06-01,198
2022-07-01,189
2022-08-01,165
2022-09-01,193
2022-10-01,182
2022-11-01,190
2022-12-01,167
2023-01-01,171
2023-02-01,190
2023-03-01,203
2023-04-01,183
2023-05-01,216
2023-06-01,182
