year_month,count
2013-10-01,9
2013-11-01,30
2013-12-01,69
2014-01-01,49
2014-02-01,79
2014-03-01,63
2014-04-01,72
2014-05-01,84
2014-06-01,63
2014-07-01,62
2014-08-01,70
2014-09-01,154
2014-10-01,109
2014-11-01,107
2014-12-01,129
2015-01-01,127
2015-02-01,179
2015-03-01,170
2015-04-01,189
2015-05-01,145
2015-06-01,130
2015-07-01,122
2015-08-01,127
2015-09-01,119
2015-10-01,129
2015-11-01,159
2015-12-01,105
2016-01-01,145
2016-02-01,155
2016-03-01,220
2016-04-01,212
2016-05-01,193
2016-06-01,176
2016-07-01,231
2016-08-01,196
2016-09-01,198
2016-10-01,197
2016-11-01,199
2016-12-01,192
2017-01-01,216
2017-02-01,298
2017-03-01,267
2017-04-01,236
2017-05-01,301
2017-06-01,262
2017-07-01,244
2017-08-01,256
2017-09-01,224
2017-10-01,270
2017-11-01,297
2017-12-01,262
2018-01-01,268
2018-02-01,253
2018-03-01,371
2018-04-01,334
2018-05-01,296
2018-06-01,259
2018-07-01,300
2018-08-01,234
2018-09-01,284
2018-10-01,231
2018-11-01,240
2018-12-01,230
2019-01-01,309
2019-02-01,238
2019-03-01,273
2019-04-01,288
2019-05-01,312
2019-06-01,307
2019-07-01,280
2019-08-01,228
2019-09-01,201
2019-10-01,225
2019-11-01,218
2019-12-01,187
2020-01-01,228
2020-02-01,164
2020-03-01,154
2020-04-01,168
2020-05-01,210
2020-06-01,162
2020-07-01,300
2020-08-01,352
2020-09-01,359
2020-10-01,165
2020-11-01,171
2020-12-01,144
2021-01-01,135
2021-02-01,127
2021-03-01,155
2021-04-01,158
2021-05-01,139
2021-06-01,135
2021-07-01,106
2021-08-01,96
2021-09-01,139
2021-10-01,107
2021-11-01,130
2021-12-01,109
2022-01-01,117
2022-02-01,92
2022-03-01,95
2022-04-01,99
2022-05-01,114
2022-06-01,143
2022-07-01,103
2022-08-01,104
2022-09-01,91
2022-10-01,142
2022-11-01,94
2022-12-01,103
2023-01-01,83
2023-02-01,107
2023-03-01,113
2023-04-01,103
2023-05-01,101
2023-06-01,90
