year_month,count
2014-05-01,3
2014-07-01,1
2014-08-01,1
2014-09-01,1
2015-01-01,1
2015-02-01,1
2015-03-01,3
2015-04-01,3
2015-05-01,2
2015-06-01,4
2015-07-01,1
2015-08-01,2
2015-09-01,4
2015-10-01,3
2015-11-01,2
2015-12-01,4
2016-01-01,10
2016-02-01,6
2016-03-01,5
2016-04-01,4
2016-05-01,2
2016-06-01,3
2016-07-01,8
2016-08-01,7
2016-09-01,6
2016-10-01,6
2016-12-01,7
2017-01-01,3
2017-02-01,6
2017-03-01,2
2017-04-01,4
2017-05-01,4
2017-06-01,4
2017-07-01,8
2017-08-01,7
2017-09-01,7
2017-10-01,8
2017-11-01,5
2017-12-01,16
2018-01-01,11
2018-02-01,11
2018-03-01,20
2018-04-01,8
2018-05-01,21
2018-06-01,20
2018-07-01,16
2018-08-01,18
2018-09-01,20
2018-10-01,9
2018-11-01,16
2018-12-01,14
2019-01-01,14
2019-02-01,22
2019-03-01,21
2019-04-01,19
2019-05-01,16
2019-06-01,53
2019-07-01,18
2019-08-01,26
2019-09-01,14
2019-10-01,18
2019-11-01,17
2019-12-01,14
2020-01-01,20
2020-02-01,14
2020-03-01,16
2020-04-01,24
2020-05-01,32
2020-06-01,19
2020-07-01,31
2020-08-01,34
2020-09-01,38
2020-10-01,23
2020-11-01,19
2020-12-01,26
2021-01-01,132
2021-02-01,27
2021-03-01,27
2021-04-01,32
2021-05-01,22
2021-06-01,25
2021-07-01,42
2021-08-01,38
2021-09-01,39
2021-10-01,23
2021-11-01,33
2021-12-01,42
2022-01-01,51
2022-02-01,34
2022-03-01,27
2022-04-01,39
2022-05-01,52
2022-06-01,35
2022-07-01,47
2022-08-01,31
2022-09-01,33
2022-10-01,43
2022-11-01,41
2022-12-01,54
2023-01-01,48
2023-02-01,49
2023-03-01,40
2023-04-01,25
2023-05-01,57
2023-06-01,18
