year_month,count
2011-09-01,265
2011-10-01,20
2011-11-01,19
2011-12-01,20
2012-01-01,27
2012-02-01,18
2012-03-01,24
2012-04-01,14
2012-05-01,10
2012-06-01,18
2012-07-01,18
2012-08-01,11
2012-09-01,4
2012-10-01,6
2012-11-01,3
2012-12-01,10
2013-01-01,5
2013-02-01,15
2013-03-01,19
2013-04-01,15
2013-05-01,57
2013-06-01,51
2013-07-01,28
2013-08-01,20
2013-09-01,43
2013-10-01,26
2013-11-01,36
2013-12-01,22
2014-01-01,32
2014-02-01,19
2014-03-01,24
2014-04-01,15
2014-05-01,20
2014-06-01,24
2014-07-01,20
2014-08-01,21
2014-09-01,27
2014-10-01,50
2014-11-01,23
2014-12-01,23
2015-01-01,29
2015-02-01,32
2015-03-01,37
2015-04-01,23
2015-05-01,28
2015-06-01,27
2015-07-01,29
2015-08-01,18
2015-09-01,33
2015-10-01,35
2015-11-01,32
2015-12-01,33
2016-01-01,44
2016-02-01,31
2016-03-01,107
2016-04-01,41
2016-05-01,22
2016-06-01,31
2016-07-01,37
2016-08-01,35
2016-09-01,24
2016-10-01,36
2016-11-01,30
2016-12-01,18
2017-01-01,21
2017-02-01,36
2017-03-01,36
2017-04-01,43
2017-05-01,39
2017-06-01,26
2017-07-01,24
2017-08-01,30
2017-09-01,46
2017-10-01,28
2017-11-01,28
2017-12-01,33
2018-01-01,28
2018-02-01,36
2018-03-01,49
2018-04-01,34
2018-05-01,24
2018-06-01,37
2018-07-01,42
2018-08-01,60
2018-09-01,45
2018-10-01,43
2018-11-01,38
2018-12-01,31
2019-01-01,34
2019-02-01,34
2019-03-01,45
2019-04-01,59
2019-05-01,38
2019-06-01,43
2019-07-01,31
2019-08-01,29
2019-09-01,31
2019-10-01,15
2019-11-01,27
2019-12-01,35
2020-01-01,21
2020-02-01,34
2020-03-01,23
2020-04-01,18
2020-05-01,30
2020-06-01,31
2020-07-01,40
2020-08-01,20
2020-09-01,14
2020-10-01,22
2020-11-01,15
2020-12-01,20
2021-01-01,26
2021-02-01,27
2021-03-01,36
2021-04-01,27
2021-05-01,30
2021-06-01,23
2021-07-01,24
2021-08-01,33
2021-09-01,43
2021-10-01,39
2021-11-01,45
2021-12-01,50
2022-01-01,43
2022-02-01,49
2022-03-01,45
2022-04-01,29
2022-05-01,22
2022-06-01,33
2022-07-01,18
2022-08-01,33
2022-09-01,29
2022-10-01,25
2022-11-01,36
2022-12-01,22
2023-01-01,52
2023-02-01,32
2023-03-01,23
2023-04-01,33
2023-05-01,28
2023-06-01,22
