year_month,count
2015-01-01,1
2015-06-01,1
2015-07-01,2
2015-11-01,16
2015-12-01,23
2016-01-01,23
2016-02-01,245
2016-03-01,53
2016-04-01,51
2016-05-01,44
2016-06-01,49
2016-07-01,65
2016-08-01,85
2016-09-01,39
2016-10-01,47
2016-11-01,33
2016-12-01,41
2017-01-01,37
2017-02-01,508
2017-03-01,114
2017-04-01,85
2017-05-01,158
2017-06-01,82
2017-07-01,73
2017-08-01,77
2017-09-01,211
2017-10-01,288
2017-11-01,167
2017-12-01,112
2018-01-01,132
2018-02-01,124
2018-03-01,131
2018-04-01,129
2018-05-01,104
2018-06-01,131
2018-07-01,107
2018-08-01,109
2018-09-01,142
2018-10-01,81
2018-11-01,87
2018-12-01,97
2019-01-01,123
2019-02-01,100
2019-03-01,139
2019-04-01,101
2019-05-01,160
2019-06-01,81
2019-07-01,120
2019-08-01,120
2019-09-01,524
2019-10-01,144
2019-11-01,125
2019-12-01,98
2020-01-01,93
2020-02-01,88
2020-03-01,78
2020-04-01,88
2020-05-01,250
2020-06-01,62
2020-07-01,81
2020-08-01,58
2020-09-01,60
2020-10-01,59
2020-11-01,43
2020-12-01,71
2021-01-01,92
2021-02-01,71
2021-03-01,54
2021-04-01,48
2021-05-01,66
2021-06-01,53
2021-07-01,32
2021-08-01,72
2021-09-01,50
2021-10-01,64
2021-11-01,62
2021-12-01,75
2022-01-01,50
2022-02-01,39
2022-03-01,46
2022-04-01,53
2022-05-01,54
2022-06-01,59
2022-07-01,51
2022-08-01,38
2022-09-01,38
2022-10-01,40
2022-11-01,36
2022-12-01,56
2023-01-01,42
2023-02-01,39
2023-03-01,38
2023-04-01,49
2023-05-01,38
2023-06-01,25
