year_month,count
2011-06-01,29
2011-07-01,6
2011-08-01,2
2011-09-01,2
2011-10-01,2
2011-11-01,1
2011-12-01,1
2012-01-01,4
2012-02-01,6
2012-04-01,3
2012-05-01,2
2012-06-01,2
2012-07-01,4
2012-09-01,2
2012-10-01,2
2012-11-01,1
2013-01-01,1
2013-02-01,5
2013-03-01,9
2013-04-01,4
2013-05-01,5
2013-06-01,4
2013-07-01,5
2013-08-01,1
2013-09-01,9
2013-10-01,4
2013-11-01,5
2013-12-01,8
2014-01-01,3
2014-02-01,6
2014-03-01,5
2014-04-01,4
2014-05-01,7
2014-06-01,7
2014-07-01,10
2014-08-01,7
2014-09-01,8
2014-10-01,6
2014-11-01,6
2014-12-01,8
2015-01-01,8
2015-02-01,7
2015-03-01,7
2015-04-01,5
2015-05-01,10
2015-06-01,5
2015-07-01,12
2015-08-01,11
2015-09-01,16
2015-10-01,11
2015-11-01,12
2015-12-01,8
2016-01-01,8
2016-02-01,8
2016-03-01,5
2016-04-01,14
2016-05-01,11
2016-06-01,9
2016-07-01,10
2016-08-01,15
2016-09-01,19
2016-10-01,23
2016-11-01,17
2016-12-01,11
2017-01-01,16
2017-02-01,18
2017-03-01,31
2017-04-01,20
2017-05-01,16
2017-06-01,13
2017-07-01,24
2017-08-01,26
2017-09-01,17
2017-10-01,17
2017-11-01,19
2017-12-01,17
2018-01-01,23
2018-02-01,25
2018-03-01,29
2018-04-01,30
2018-05-01,22
2018-06-01,26
2018-07-01,23
2018-08-01,37
2018-09-01,28
2018-10-01,23
2018-11-01,25
2018-12-01,25
2019-01-01,24
2019-02-01,19
2019-03-01,27
2019-04-01,13
2019-05-01,25
2019-06-01,27
2019-07-01,30
2019-08-01,11
2019-09-01,17
2019-10-01,16
2019-11-01,27
2019-12-01,16
2020-01-01,24
2020-02-01,21
2020-03-01,22
2020-04-01,37
2020-05-01,21
2020-06-01,13
2020-07-01,11
2020-08-01,10
2020-09-01,14
2020-10-01,10
2020-11-01,11
2020-12-01,12
2021-01-01,17
2021-02-01,12
2021-03-01,31
2021-04-01,13
2021-05-01,11
2021-06-01,9
2021-07-01,11
2021-08-01,8
2021-09-01,5
2021-10-01,4
2021-11-01,6
2021-12-01,12
2022-01-01,18
2022-02-01,16
2022-03-01,10
2022-04-01,12
2022-05-01,12
2022-06-01,5
2022-07-01,7
2022-08-01,7
2022-09-01,3
2022-10-01,8
2022-11-01,7
2022-12-01,5
2023-01-01,11
2023-02-01,3
2023-03-01,4
2023-04-01,4
2023-05-01,7
2023-06-01,5
