year_month,count
2016-02-01,4
2016-03-01,22
2016-04-01,9
2016-05-01,20
2016-06-01,16
2016-07-01,13
2016-08-01,10
2016-09-01,11
2016-10-01,3
2016-11-01,8
2016-12-01,9
2017-01-01,7
2017-02-01,16
2017-03-01,16
2017-04-01,7
2017-05-01,14
2017-06-01,77
2017-07-01,43
2017-08-01,93
2017-09-01,101
2017-10-01,34
2017-11-01,738
2017-12-01,141
2018-01-01,211
2018-02-01,170
2018-03-01,157
2018-04-01,78
2018-05-01,64
2018-06-01,49
2018-07-01,35
2018-08-01,58
2018-09-01,55
2018-10-01,25
2018-11-01,48
2018-12-01,19
2019-01-01,18
2019-02-01,20
2019-03-01,21
2019-04-01,20
2019-05-01,24
2019-06-01,9
2019-07-01,7
2019-08-01,10
2019-09-01,13
2019-10-01,7
2019-11-01,8
2019-12-01,6
2020-01-01,2
2020-02-01,5
2020-03-01,6
2020-04-01,7
2020-05-01,6
2020-06-01,7
2020-07-01,8
2020-08-01,10
2020-09-01,7
2020-10-01,6
2020-11-01,3
2020-12-01,5
2021-01-01,7
2021-02-01,14
2021-03-01,3
2021-04-01,11
2021-05-01,11
2021-06-01,12
2021-07-01,6
2021-08-01,9
2021-09-01,3
2021-10-01,3
2021-11-01,10
2021-12-01,6
2022-01-01,2
2022-02-01,3
2022-03-01,5
2022-04-01,6
2022-05-01,4
2022-06-01,5
2022-07-01,2
2022-08-01,4
2022-09-01,9
2022-10-01,3
2022-11-01,2
2022-12-01,3
2023-01-01,2
2023-02-01,3
2023-04-01,3
2023-06-01,2
