year_month,count
2016-09-01,132
2016-10-01,94
2016-11-01,79
2016-12-01,87
2017-01-01,115
2017-02-01,172
2017-03-01,289
2017-04-01,259
2017-05-01,250
2017-06-01,220
2017-07-01,228
2017-08-01,242
2017-09-01,173
2017-10-01,282
2017-11-01,238
2017-12-01,195
2018-01-01,199
2018-02-01,188
2018-03-01,192
2018-04-01,174
2018-05-01,247
2018-06-01,252
2018-07-01,272
2018-08-01,256
2018-09-01,287
2018-10-01,267
2018-11-01,303
2018-12-01,277
2019-01-01,299
2019-02-01,264
2019-03-01,384
2019-04-01,306
2019-05-01,357
2019-06-01,521
2019-07-01,305
2019-08-01,436
2019-09-01,326
2019-10-01,372
2019-11-01,374
2019-12-01,340
2020-01-01,530
2020-02-01,288
2020-03-01,436
2020-04-01,426
2020-05-01,439
2020-06-01,291
2020-07-01,420
2020-08-01,289
2020-09-01,263
2020-10-01,644
2020-11-01,321
2020-12-01,346
2021-01-01,347
2021-02-01,256
2021-03-01,292
2021-04-01,274
2021-05-01,263
2021-06-01,258
2021-07-01,260
2021-08-01,241
2021-09-01,257
2021-10-01,257
2021-11-01,238
2021-12-01,241
2022-01-01,265
2022-02-01,219
2022-03-01,228
2022-04-01,370
2022-05-01,246
2022-06-01,219
2022-07-01,236
2022-08-01,269
2022-09-01,296
2022-10-01,220
2022-11-01,192
2022-12-01,186
2023-01-01,194
2023-02-01,185
2023-03-01,191
2023-04-01,311
2023-05-01,237
2023-06-01,226
