year_month,count
2014-09-01,28
2014-10-01,6
2014-11-01,7
2014-12-01,17
2015-01-01,11
2015-02-01,160
2015-03-01,69
2015-04-01,15
2015-05-01,13
2015-06-01,34
2015-07-01,25
2015-08-01,22
2015-09-01,41
2015-10-01,40
2015-11-01,56
2015-12-01,20
2016-01-01,26
2016-02-01,91
2016-03-01,43
2016-04-01,22
2016-05-01,51
2016-06-01,68
2016-07-01,90
2016-08-01,50
2016-09-01,88
2016-10-01,81
2016-11-01,83
2016-12-01,84
2017-01-01,88
2017-02-01,91
2017-03-01,106
2017-04-01,83
2017-05-01,64
2017-06-01,55
2017-07-01,61
2017-08-01,87
2017-09-01,57
2017-10-01,70
2017-11-01,73
2017-12-01,68
2018-01-01,87
2018-02-01,79
2018-03-01,79
2018-04-01,138
2018-05-01,108
2018-06-01,63
2018-07-01,78
2018-08-01,89
2018-09-01,56
2018-10-01,92
2018-11-01,57
2018-12-01,78
2019-01-01,74
2019-02-01,168
2019-03-01,126
2019-04-01,157
2019-05-01,108
2019-06-01,160
2019-07-01,101
2019-08-01,102
2019-09-01,122
2019-10-01,160
2019-11-01,112
2019-12-01,158
2020-01-01,148
2020-02-01,173
2020-03-01,282
2020-04-01,213
2020-05-01,226
2020-06-01,153
2020-07-01,160
2020-08-01,123
2020-09-01,96
2020-10-01,120
2020-11-01,95
2020-12-01,135
2021-01-01,289
2021-02-01,180
2021-03-01,156
2021-04-01,108
2021-05-01,182
2021-06-01,120
2021-07-01,136
2021-08-01,105
2021-09-01,129
2021-10-01,142
2021-11-01,157
2021-12-01,121
2022-01-01,158
2022-02-01,159
2022-03-01,181
2022-04-01,144
2022-05-01,133
2022-06-01,107
2022-07-01,134
2022-08-01,139
2022-09-01,127
2022-10-01,146
2022-11-01,144
2022-12-01,127
2023-01-01,142
2023-02-01,117
2023-03-01,139
2023-04-01,123
2023-05-01,120
2023-06-01,119
