year_month,count
2015-06-01,1723
2015-07-01,402
2015-08-01,437
2015-09-01,982
2015-10-01,1254
2015-11-01,396
2015-12-01,313
2016-01-01,308
2016-02-01,308
2016-03-01,614
2016-04-01,291
2016-05-01,269
2016-06-01,225
2016-07-01,220
2016-08-01,358
2016-09-01,221
2016-10-01,207
2016-11-01,205
2016-12-01,156
2017-01-01,168
2017-02-01,172
2017-03-01,188
2017-04-01,157
2017-05-01,150
2017-06-01,114
2017-07-01,165
2017-08-01,166
2017-09-01,130
2017-10-01,169
2017-11-01,150
2017-12-01,214
2018-01-01,201
2018-02-01,123
2018-03-01,197
2018-04-01,205
2018-05-01,155
2018-06-01,146
2018-07-01,186
2018-08-01,228
2018-09-01,141
2018-10-01,268
2018-11-01,202
2018-12-01,225
2019-01-01,184
2019-02-01,220
2019-03-01,184
2019-04-01,214
2019-05-01,221
2019-06-01,358
2019-07-01,542
2019-08-01,250
2019-09-01,286
2019-10-01,338
2019-11-01,211
2019-12-01,283
2020-01-01,232
2020-02-01,267
2020-03-01,274
2020-04-01,215
2020-05-01,222
2020-06-01,189
2020-07-01,199
2020-08-01,186
2020-09-01,177
2020-10-01,265
2020-11-01,165
2020-12-01,169
2021-01-01,206
2021-02-01,143
2021-03-01,224
2021-04-01,163
2021-05-01,156
2021-06-01,147
2021-07-01,143
2021-08-01,160
2021-09-01,125
2021-10-01,365
2021-11-01,254
2021-12-01,138
2022-01-01,181
2022-02-01,156
2022-03-01,493
2022-04-01,415
2022-05-01,220
2022-06-01,381
2022-07-01,256
2022-08-01,203
2022-09-01,210
2022-10-01,275
2022-11-01,216
2022-12-01,190
2023-01-01,176
2023-02-01,221
2023-03-01,201
2023-04-01,215
2023-05-01,283
2023-06-01,268
