year_month,count
2020-05-01,2
2020-06-01,292
2020-07-01,690
2020-08-01,855
2020-09-01,203
2020-10-01,179
2020-11-01,428
2020-12-01,636
2021-01-01,239
2021-02-01,169
2021-03-01,250
2021-04-01,256
2021-05-01,163
2021-06-01,207
2021-07-01,232
2021-08-01,376
2021-09-01,212
2021-10-01,108
2021-11-01,152
2021-12-01,592
2022-01-01,200
2022-02-01,162
2022-03-01,216
2022-04-01,208
2022-05-01,384
2022-06-01,187
2022-07-01,307
2022-08-01,160
2022-09-01,132
2022-10-01,98
2022-11-01,146
2022-12-01,106
2023-01-01,76
2023-02-01,157
2023-03-01,218
2023-04-01,128
2023-05-01,147
2023-06-01,122
