year_month,count
2016-10-01,4
2016-11-01,4
2016-12-01,5
2017-01-01,4
2017-02-01,6
2017-03-01,7
2017-04-01,3
2017-05-01,11
2017-06-01,8
2017-07-01,6
2017-08-01,10
2017-09-01,16
2017-10-01,13
2017-11-01,13
2017-12-01,8
2018-01-01,18
2018-02-01,11
2018-03-01,25
2018-04-01,22
2018-05-01,54
2018-06-01,31
2018-07-01,34
2018-08-01,69
2018-09-01,33
2018-10-01,34
2018-11-01,33
2018-12-01,34
2019-01-01,30
2019-02-01,39
2019-03-01,48
2019-04-01,36
2019-05-01,63
2019-06-01,63
2019-07-01,130
2019-08-01,56
2019-09-01,198
2019-10-01,94
2019-11-01,50
2019-12-01,37
2020-01-01,53
2020-02-01,36
2020-03-01,58
2020-04-01,65
2020-05-01,58
2020-06-01,59
2020-07-01,95
2020-08-01,63
2020-09-01,108
2020-10-01,58
2020-11-01,65
2020-12-01,82
2021-01-01,82
2021-02-01,89
2021-03-01,96
2021-04-01,99
2021-05-01,85
2021-06-01,90
2021-07-01,120
2021-08-01,101
2021-09-01,140
2021-10-01,112
2021-11-01,134
2021-12-01,121
2022-01-01,123
2022-02-01,113
2022-03-01,114
2022-04-01,127
2022-05-01,143
2022-06-01,122
2022-07-01,84
2022-08-01,95
2022-09-01,79
2022-10-01,81
2022-11-01,75
2022-12-01,72
2023-01-01,68
2023-02-01,66
2023-03-01,71
2023-04-01,85
2023-05-01,61
2023-06-01,59
