year_month,count
2014-07-01,1486
2014-08-01,265
2014-09-01,147
2014-10-01,233
2014-11-01,420
2014-12-01,187
2015-01-01,209
2015-02-01,172
2015-03-01,665
2015-04-01,493
2015-05-01,446
2015-06-01,317
2015-07-01,358
2015-08-01,350
2015-09-01,348
2015-10-01,404
2015-11-01,536
2015-12-01,508
2016-01-01,577
2016-02-01,557
2016-03-01,688
2016-04-01,661
2016-05-01,638
2016-06-01,736
2016-07-01,894
2016-08-01,716
2016-09-01,897
2016-10-01,819
2016-11-01,785
2016-12-01,674
2017-01-01,735
2017-02-01,831
2017-03-01,919
2017-04-01,1031
2017-05-01,874
2017-06-01,877
2017-07-01,923
2017-08-01,1011
2017-09-01,790
2017-10-01,1104
2017-11-01,1028
2017-12-01,962
2018-01-01,1077
2018-02-01,921
2018-03-01,1061
2018-04-01,969
2018-05-01,1020
2018-06-01,1478
2018-07-01,1146
2018-08-01,1126
2018-09-01,1050
2018-10-01,1325
2018-11-01,997
2018-12-01,1182
2019-01-01,1416
2019-02-01,1172
2019-03-01,1387
2019-04-01,1250
2019-05-01,1370
2019-06-01,1127
2019-07-01,1207
2019-08-01,1079
2019-09-01,1046
2019-10-01,1030
2019-11-01,868
2019-12-01,807
2020-01-01,755
2020-02-01,719
2020-03-01,754
2020-04-01,875
2020-05-01,1097
2020-06-01,882
2020-07-01,942
2020-08-01,1205
2020-09-01,834
2020-10-01,682
2020-11-01,1166
2020-12-01,868
2021-01-01,893
2021-02-01,717
2021-03-01,880
2021-04-01,813
2021-05-01,1007
2021-06-01,964
2021-07-01,783
2021-08-01,773
2021-09-01,785
2021-10-01,849
2021-11-01,917
2021-12-01,806
2022-01-01,775
2022-02-01,852
2022-03-01,953
2022-04-01,960
2022-05-01,937
2022-06-01,898
2022-07-01,1036
2022-08-01,1074
2022-09-01,865
2022-10-01,946
2022-11-01,1095
2022-12-01,783
2023-01-01,975
2023-02-01,871
2023-03-01,1208
2023-04-01,934
2023-05-01,1012
2023-06-01,768
