year_month,count
2015-11,556
2015-12,834
2016-01,1012
2016-02,888
2016-03,882
2016-04,887
2016-05,977
2016-06,1275
2016-07,759
2016-08,1040
2016-09,1129
2016-10,1127
2016-11,1127
2016-12,901
2017-01,1354
2017-02,1064
2017-03,1367
2017-04,887
2017-05,1410
2017-06,1427
2017-07,1167
2017-08,993
2017-09,1331
2017-10,1251
2017-11,1302
2017-12,1007
2018-01,1252
2018-02,1234
2018-03,1473
2018-04,1475
2018-05,1520
2018-06,1470
2018-07,1399
2018-08,1276
2018-09,1380
2018-10,1541
2018-11,1193
2018-12,1074
2019-01,1237
2019-02,1122
2019-03,1390
2019-04,985
2019-05,745
2019-06,1272
2019-07,1620
2019-08,1299
2019-09,1306
2019-10,1473
2019-11,1455
2019-12,953
2020-01,1376
2020-02,1594
2020-03,1496
2020-04,1679
2020-05,1295
2020-06,1507
2020-07,1090
2020-08,1050
2020-09,1173
2020-10,987
2020-11,1371
2020-12,1123
2021-01,1292
2021-02,1630
2021-03,1638
2021-04,1886
2021-05,1688
2021-06,1668
2021-07,1200
2021-08,1107
2021-09,1162
2021-10,922
2021-11,1262
2021-12,800
2022-01,1416
2022-02,1315
2022-03,1505
2022-04,817
2022-05,924
2022-06,1198
2022-07,1012
2022-08,1058
2022-09,969
2022-10,894
2022-11,1025
2022-12,992
2023-01,905
2023-02,832
2023-03,1358
2023-04,1049
2023-05,1219
2023-06,1238
2023-07,602
