year_month,count
2011-01-01,10
2011-03-01,2
2011-04-01,1
2011-05-01,1
2011-06-01,1
2011-11-01,2
2011-12-01,1
2012-01-01,1
2012-02-01,2
2012-04-01,1
2012-06-01,1
2013-02-01,1
2013-03-01,2
2013-04-01,3
2013-05-01,2
2013-06-01,2
2013-07-01,2
2013-08-01,2
2013-09-01,2
2013-10-01,4
2013-11-01,2
2013-12-01,4
2014-01-01,4
2014-02-01,3
2014-03-01,4
2014-04-01,6
2014-05-01,5
2014-06-01,7
2014-07-01,2
2014-08-01,2
2014-09-01,5
2014-10-01,3
2014-11-01,2
2014-12-01,4
2015-01-01,1
2015-02-01,3
2015-03-01,7
2015-04-01,7
2015-05-01,1
2015-06-01,4
2015-07-01,6
2015-08-01,4
2015-09-01,2
2015-10-01,6
2015-11-01,9
2015-12-01,5
2016-01-01,5
2016-02-01,6
2016-03-01,5
2016-04-01,5
2016-05-01,6
2016-06-01,12
2016-07-01,6
2016-08-01,5
2016-09-01,8
2016-10-01,5
2016-11-01,7
2016-12-01,15
2017-01-01,8
2017-02-01,8
2017-03-01,17
2017-04-01,7
2017-05-01,6
2017-06-01,8
2017-07-01,13
2017-08-01,7
2017-09-01,9
2017-10-01,11
2017-11-01,8
2017-12-01,18
2018-01-01,11
2018-02-01,16
2018-03-01,20
2018-04-01,23
2018-05-01,16
2018-06-01,22
2018-07-01,58
2018-08-01,14
2018-09-01,35
2018-10-01,23
2018-11-01,27
2018-12-01,38
2019-01-01,22
2019-02-01,22
2019-03-01,38
2019-04-01,37
2019-05-01,33
2019-06-01,22
2019-07-01,53
2019-08-01,27
2019-09-01,118
2019-10-01,29
2019-11-01,28
2019-12-01,23
2020-01-01,24
2020-02-01,34
2020-03-01,28
2020-04-01,25
2020-05-01,27
2020-06-01,17
2020-07-01,15
2020-08-01,28
2020-09-01,27
2020-10-01,20
2020-11-01,21
2020-12-01,32
2021-01-01,37
2021-02-01,23
2021-03-01,36
2021-04-01,33
2021-05-01,16
2021-06-01,22
2021-07-01,16
2021-08-01,26
2021-09-01,23
2021-10-01,27
2021-11-01,40
2021-12-01,29
2022-01-01,22
2022-02-01,53
2022-03-01,47
2022-04-01,29
2022-05-01,30
2022-06-01,23
2022-07-01,33
2022-08-01,17
2022-09-01,23
2022-10-01,25
2022-11-01,22
2022-12-01,23
2023-01-01,25
2023-02-01,27
2023-03-01,50
2023-04-01,32
2023-05-01,32
2023-06-01,29
