year_month,count
2013-01-01,7
2013-03-01,807
2013-04-01,633
2013-05-01,1057
2013-06-01,590
2013-07-01,589
2013-08-01,843
2013-09-01,746
2013-10-01,572
2013-11-01,677
2013-12-01,759
2014-01-01,720
2014-02-01,648
2014-03-01,662
2014-04-01,608
2014-05-01,492
2014-06-01,997
2014-07-01,625
2014-08-01,667
2014-09-01,658
2014-10-01,662
2014-11-01,821
2014-12-01,830
2015-01-01,728
2015-02-01,579
2015-03-01,861
2015-04-01,773
2015-05-01,690
2015-06-01,810
2015-07-01,708
2015-08-01,709
2015-09-01,668
2015-10-01,667
2015-11-01,809
2015-12-01,677
2016-01-01,795
2016-02-01,733
2016-03-01,912
2016-04-01,778
2016-05-01,729
2016-06-01,824
2016-07-01,916
2016-08-01,891
2016-09-01,880
2016-10-01,899
2016-11-01,874
2016-12-01,817
2017-01-01,890
2017-02-01,823
2017-03-01,1062
2017-04-01,1855
2017-05-01,738
2017-06-01,562
2017-07-01,499
2017-08-01,505
2017-09-01,493
2017-10-01,539
2017-11-01,521
2017-12-01,486
2018-01-01,549
2018-02-01,385
2018-03-01,552
2018-04-01,444
2018-05-01,441
2018-06-01,381
2018-07-01,420
2018-08-01,437
2018-09-01,467
2018-10-01,410
2018-11-01,480
2018-12-01,423
2019-01-01,449
2019-02-01,349
2019-03-01,443
2019-04-01,460
2019-05-01,481
2019-06-01,404
2019-07-01,465
2019-08-01,445
2019-09-01,342
2019-10-01,377
2019-11-01,368
2019-12-01,344
2020-01-01,309
2020-02-01,274
2020-03-01,283
2020-04-01,302
2020-05-01,329
2020-06-01,292
2020-07-01,346
2020-08-01,288
2020-09-01,595
2020-10-01,284
2020-11-01,313
2020-12-01,304
2021-01-01,295
2021-02-01,239
2021-03-01,262
2021-04-01,269
2021-05-01,273
2021-06-01,243
2021-07-01,285
2021-08-01,273
2021-09-01,279
2021-10-01,237
2021-11-01,280
2021-12-01,272
2022-01-01,276
2022-02-01,226
2022-03-01,442
2022-04-01,350
2022-05-01,302
2022-06-01,263
2022-07-01,304
2022-08-01,300
2022-09-01,289
2022-10-01,316
2022-11-01,249
2022-12-01,253
2023-01-01,240
2023-02-01,297
2023-03-01,437
2023-04-01,278
2023-05-01,331
2023-06-01,242
