year_month,count
2012-05-01,49
2012-06-01,2
2012-07-01,3
2012-08-01,2
2012-09-01,1
2012-10-01,2
2012-11-01,2
2013-02-01,7
2013-03-01,14
2013-04-01,6
2013-05-01,5
2013-06-01,6
2013-07-01,10
2013-08-01,6
2013-09-01,11
2013-10-01,7
2013-11-01,9
2013-12-01,12
2014-01-01,16
2014-02-01,9
2014-03-01,42
2014-04-01,24
2014-05-01,22
2014-06-01,24
2014-07-01,15
2014-08-01,22
2014-09-01,16
2014-10-01,34
2014-11-01,27
2014-12-01,16
2015-01-01,35
2015-02-01,18
2015-03-01,45
2015-04-01,39
2015-05-01,46
2015-06-01,17
2015-07-01,22
2015-08-01,18
2015-09-01,28
2015-10-01,20
2015-11-01,39
2015-12-01,29
2016-01-01,41
2016-02-01,31
2016-03-01,31
2016-04-01,31
2016-05-01,42
2016-06-01,26
2016-07-01,32
2016-08-01,30
2016-09-01,47
2016-10-01,29
2016-11-01,35
2016-12-01,26
2017-01-01,47
2017-02-01,51
2017-03-01,52
2017-04-01,39
2017-05-01,44
2017-06-01,34
2017-07-01,38
2017-08-01,53
2017-09-01,57
2017-10-01,69
2017-11-01,55
2017-12-01,144
2018-01-01,188
2018-02-01,161
2018-03-01,129
2018-04-01,113
2018-05-01,104
2018-06-01,85
2018-07-01,65
2018-08-01,59
2018-09-01,55
2018-10-01,59
2018-11-01,50
2018-12-01,74
2019-01-01,94
2019-02-01,76
2019-03-01,153
2019-04-01,75
2019-05-01,58
2019-06-01,80
2019-07-01,74
2019-08-01,79
2019-09-01,63
2019-10-01,72
2019-11-01,74
2019-12-01,106
2020-01-01,93
2020-02-01,77
2020-03-01,98
2020-04-01,118
2020-05-01,124
2020-06-01,139
2020-07-01,87
2020-08-01,77
2020-09-01,74
2020-10-01,102
2020-11-01,95
2020-12-01,94
2021-01-01,199
2021-02-01,94
2021-03-01,88
2021-04-01,94
2021-05-01,140
2021-06-01,74
2021-07-01,127
2021-08-01,87
2021-09-01,90
2021-10-01,64
2021-11-01,91
2021-12-01,107
2022-01-01,93
2022-02-01,107
2022-03-01,99
2022-04-01,149
2022-05-01,114
2022-06-01,89
2022-07-01,100
2022-08-01,124
2022-09-01,101
2022-10-01,106
2022-11-01,150
2022-12-01,979
2023-01-01,372
2023-02-01,167
2023-03-01,138
2023-04-01,175
2023-05-01,135
2023-06-01,115
