year_month,count
2016-03-01,1
2016-04-01,26
2016-05-01,36
2016-06-01,69
2016-07-01,27
2016-08-01,29
2016-09-01,32
2016-10-01,23
2016-11-01,28
2016-12-01,29
2017-01-01,30
2017-02-01,33
2017-03-01,35
2017-04-01,22
2017-05-01,32
2017-06-01,37
2017-07-01,27
2017-08-01,28
2017-09-01,25
2017-10-01,32
2017-11-01,43
2017-12-01,25
2018-01-01,32
2018-02-01,28
2018-03-01,60
2018-04-01,39
2018-05-01,42
2018-06-01,29
2018-07-01,28
2018-08-01,22
2018-09-01,43
2018-10-01,35
2018-11-01,45
2018-12-01,24
2019-01-01,31
2019-02-01,39
2019-03-01,42
2019-04-01,53
2019-05-01,33
2019-06-01,34
2019-07-01,33
2019-08-01,34
2019-09-01,27
2019-10-01,26
2019-11-01,57
2019-12-01,26
2020-01-01,33
2020-02-01,27
2020-03-01,35
2020-04-01,51
2020-05-01,41
2020-06-01,34
2020-07-01,26
2020-08-01,31
2020-09-01,28
2020-10-01,29
2020-11-01,40
2020-12-01,34
2021-01-01,29
2021-02-01,35
2021-03-01,38
2021-04-01,27
2021-05-01,28
2021-06-01,22
2021-07-01,37
2021-08-01,28
2021-09-01,26
2021-10-01,26
2021-11-01,27
2021-12-01,20
2022-01-01,34
2022-02-01,31
2022-03-01,22
2022-04-01,33
2022-05-01,23
2022-06-01,26
2022-07-01,24
2022-08-01,20
2022-09-01,40
2022-10-01,30
2022-11-01,45
2022-12-01,25
2023-01-01,21
2023-02-01,37
2023-03-01,49
2023-04-01,38
2023-05-01,29
2023-06-01,32
