year_month,count
2017-09-01,4
2017-10-01,9
2017-11-01,13
2017-12-01,8
2018-01-01,12
2018-02-01,12
2018-03-01,8
2018-04-01,7
2018-05-01,12
2018-06-01,16
2018-07-01,4
2018-08-01,19
2018-09-01,24
2018-10-01,24
2018-11-01,38
2018-12-01,23
2019-01-01,36
2019-02-01,39
2019-03-01,34
2019-04-01,45
2019-05-01,37
2019-06-01,34
2019-07-01,39
2019-08-01,35
2019-09-01,38
2019-10-01,61
2019-11-01,47
2019-12-01,28
2020-01-01,48
2020-02-01,47
2020-03-01,42
2020-04-01,39
2020-05-01,32
2020-06-01,47
2020-07-01,41
2020-08-01,52
2020-09-01,56
2020-10-01,39
2020-11-01,46
2020-12-01,41
2021-01-01,43
2021-02-01,42
2021-03-01,39
2021-04-01,41
2021-05-01,49
2021-06-01,34
2021-07-01,33
2021-08-01,53
2021-09-01,30
2021-10-01,35
2021-11-01,45
2021-12-01,59
2022-01-01,46
2022-02-01,73
2022-03-01,43
2022-04-01,42
2022-05-01,42
2022-06-01,29
2022-07-01,42
2022-08-01,40
2022-09-01,37
2022-10-01,34
2022-11-01,30
2022-12-01,39
2023-01-01,43
2023-02-01,44
2023-03-01,42
2023-04-01,53
2023-05-01,47
2023-06-01,34
