year_month,count
2010-09-01,230
2010-10-01,12
2010-11-01,15
2010-12-01,22
2011-01-01,8
2011-02-01,17
2011-03-01,18
2011-04-01,15
2011-05-01,20
2011-06-01,17
2011-07-01,22
2011-08-01,16
2011-09-01,23
2011-10-01,10
2011-11-01,14
2011-12-01,16
2012-01-01,15
2012-02-01,18
2012-03-01,14
2012-04-01,8
2012-05-01,11
2012-06-01,12
2012-07-01,14
2012-08-01,15
2012-09-01,4
2012-10-01,1
2012-11-01,6
2012-12-01,1
2013-01-01,3
2013-02-01,19
2013-03-01,39
2013-04-01,38
2013-05-01,17
2013-06-01,32
2013-07-01,28
2013-08-01,24
2013-09-01,29
2013-10-01,43
2013-11-01,32
2013-12-01,42
2014-01-01,37
2014-02-01,35
2014-03-01,48
2014-04-01,45
2014-05-01,34
2014-06-01,36
2014-07-01,46
2014-08-01,41
2014-09-01,42
2014-10-01,47
2014-11-01,46
2014-12-01,45
2015-01-01,54
2015-02-01,63
2015-03-01,66
2015-04-01,47
2015-05-01,53
2015-06-01,51
2015-07-01,64
2015-08-01,62
2015-09-01,50
2015-10-01,64
2015-11-01,82
2015-12-01,81
2016-01-01,107
2016-02-01,87
2016-03-01,98
2016-04-01,98
2016-05-01,91
2016-06-01,84
2016-07-01,107
2016-08-01,106
2016-09-01,91
2016-10-01,107
2016-11-01,100
2016-12-01,105
2017-01-01,109
2017-02-01,125
2017-03-01,162
2017-04-01,144
2017-05-01,141
2017-06-01,155
2017-07-01,148
2017-08-01,153
2017-09-01,155
2017-10-01,318
2017-11-01,370
2017-12-01,204
2018-01-01,242
2018-02-01,223
2018-03-01,246
2018-04-01,254
2018-05-01,273
2018-06-01,207
2018-07-01,262
2018-08-01,204
2018-09-01,201
2018-10-01,258
2018-11-01,334
2018-12-01,226
2019-01-01,363
2019-02-01,338
2019-03-01,267
2019-04-01,284
2019-05-01,380
2019-06-01,294
2019-07-01,312
2019-08-01,261
2019-09-01,234
2019-10-01,247
2019-11-01,222
2019-12-01,239
2020-01-01,238
2020-02-01,221
2020-03-01,243
2020-04-01,287
2020-05-01,316
2020-06-01,251
2020-07-01,334
2020-08-01,192
2020-09-01,292
2020-10-01,260
2020-11-01,307
2020-12-01,302
2021-01-01,249
2021-02-01,313
2021-03-01,314
2021-04-01,310
2021-05-01,278
2021-06-01,248
2021-07-01,292
2021-08-01,305
2021-09-01,255
2021-10-01,310
2021-11-01,287
2021-12-01,285
2022-01-01,320
2022-02-01,276
2022-03-01,284
2022-04-01,292
2022-05-01,289
2022-06-01,279
2022-07-01,278
2022-08-01,298
2022-09-01,261
2022-10-01,276
2022-11-01,272
2022-12-01,276
2023-01-01,266
2023-02-01,258
2023-03-01,302
2023-04-01,335
2023-05-01,333
2023-06-01,250
