year_month,count
2010-10-01,68
2010-11-01,3
2010-12-01,5
2011-01-01,11
2011-02-01,6
2011-03-01,6
2011-04-01,7
2011-05-01,7
2011-06-01,4
2011-07-01,5
2011-08-01,4
2011-09-01,5
2011-10-01,2
2011-11-01,1
2011-12-01,3
2012-01-01,2
2012-02-01,6
2012-04-01,5
2012-05-01,6
2012-06-01,3
2012-07-01,4
2012-08-01,6
2012-09-01,1
2012-11-01,2
2012-12-01,1
2013-01-01,4
2013-02-01,2
2013-03-01,22
2013-04-01,5
2013-05-01,51
2013-06-01,18
2013-07-01,11
2013-08-01,13
2013-09-01,27
2013-10-01,16
2013-11-01,22
2013-12-01,29
2014-01-01,26
2014-02-01,111
2014-03-01,49
2014-04-01,43
2014-05-01,243
2014-06-01,78
2014-07-01,79
2014-08-01,109
2014-09-01,62
2014-10-01,110
2014-11-01,61
2014-12-01,62
2015-01-01,59
2015-02-01,74
2015-03-01,61
2015-04-01,56
2015-05-01,44
2015-06-01,57
2015-07-01,63
2015-08-01,53
2015-09-01,80
2015-10-01,65
2015-11-01,59
2015-12-01,108
2016-01-01,99
2016-02-01,63
2016-03-01,61
2016-04-01,106
2016-05-01,245
2016-06-01,86
2016-07-01,50
2016-08-01,132
2016-09-01,86
2016-10-01,88
2016-11-01,117
2016-12-01,70
2017-01-01,62
2017-02-01,66
2017-03-01,79
2017-04-01,104
2017-05-01,99
2017-06-01,77
2017-07-01,174
2017-08-01,61
2017-09-01,66
2017-10-01,87
2017-11-01,83
2017-12-01,103
2018-01-01,81
2018-02-01,122
2018-03-01,111
2018-04-01,91
2018-05-01,90
2018-06-01,96
2018-07-01,68
2018-08-01,88
2018-09-01,51
2018-10-01,99
2018-11-01,111
2018-12-01,106
2019-01-01,98
2019-02-01,97
2019-03-01,108
2019-04-01,82
2019-05-01,83
2019-06-01,86
2019-07-01,157
2019-08-01,81
2019-09-01,72
2019-10-01,100
2019-11-01,55
2019-12-01,86
2020-01-01,103
2020-02-01,95
2020-03-01,107
2020-04-01,118
2020-05-01,237
2020-06-01,623
2020-07-01,154
2020-08-01,116
2020-09-01,97
2020-10-01,87
2020-11-01,82
2020-12-01,71
2021-01-01,84
2021-02-01,79
2021-03-01,145
2021-04-01,115
2021-05-01,87
2021-06-01,72
2021-07-01,107
2021-08-01,125
2021-09-01,288
2021-10-01,144
2021-11-01,99
2021-12-01,137
2022-01-01,158
2022-02-01,134
2022-03-01,148
2022-04-01,459
2022-05-01,290
2022-06-01,100
2022-07-01,99
2022-08-01,109
2022-09-01,108
2022-10-01,147
2022-11-01,118
2022-12-01,156
2023-01-01,113
2023-02-01,126
2023-03-01,202
2023-04-01,187
2023-05-01,129
2023-06-01,87
