year_month,count
2015-11-01,25
2015-12-01,20
2016-01-01,23
2016-02-01,20
2016-03-01,24
2016-04-01,21
2016-05-01,22
2016-06-01,38
2016-07-01,84
2016-08-01,61
2016-09-01,62
2016-10-01,83
2016-11-01,87
2016-12-01,83
2017-01-01,74
2017-02-01,67
2017-03-01,77
2017-04-01,66
2017-05-01,85
2017-06-01,68
2017-07-01,77
2017-08-01,65
2017-09-01,52
2017-10-01,88
2017-11-01,90
2017-12-01,66
2018-01-01,272
2018-02-01,122
2018-03-01,117
2018-04-01,128
2018-05-01,100
2018-06-01,102
2018-07-01,111
2018-08-01,131
2018-09-01,101
2018-10-01,117
2018-11-01,106
2018-12-01,128
2019-01-01,143
2019-02-01,108
2019-03-01,144
2019-04-01,147
2019-05-01,180
2019-06-01,145
2019-07-01,147
2019-08-01,140
2019-09-01,112
2019-10-01,127
2019-11-01,161
2019-12-01,173
2020-01-01,171
2020-02-01,233
2020-03-01,219
2020-04-01,200
2020-05-01,164
2020-06-01,164
2020-07-01,149
2020-08-01,152
2020-09-01,176
2020-10-01,141
2020-11-01,169
2020-12-01,218
2021-01-01,303
2021-02-01,187
2021-03-01,295
2021-04-01,424
2021-05-01,263
2021-06-01,225
2021-07-01,140
2021-08-01,188
2021-09-01,293
2021-10-01,247
2021-11-01,194
2021-12-01,222
2022-01-01,213
2022-02-01,286
2022-03-01,305
2022-04-01,334
2022-05-01,344
2022-06-01,324
2022-07-01,211
2022-08-01,284
2022-09-01,328
2022-10-01,317
2022-11-01,270
2022-12-01,261
2023-01-01,270
2023-02-01,402
2023-03-01,341
2023-04-01,400
2023-05-01,314
2023-06-01,273
