year_month,count
2015-01-01,36
2015-02-01,28
2015-03-01,8
2015-04-01,17
2015-05-01,10
2015-06-01,11
2015-07-01,12
2015-08-01,10
2015-09-01,12
2015-10-01,7
2015-11-01,12
2015-12-01,12
2016-01-01,8
2016-02-01,15
2016-03-01,8
2016-04-01,6
2016-05-01,12
2016-06-01,9
2016-07-01,21
2016-08-01,11
2016-09-01,7
2016-10-01,8
2016-11-01,10
2016-12-01,6
2017-01-01,14
2017-02-01,18
2017-03-01,15
2017-04-01,9
2017-05-01,10
2017-06-01,13
2017-07-01,6
2017-08-01,14
2017-09-01,9
2017-10-01,13
2017-11-01,13
2017-12-01,16
2018-01-01,23
2018-02-01,21
2018-03-01,21
2018-04-01,18
2018-05-01,22
2018-06-01,20
2018-07-01,13
2018-08-01,21
2018-09-01,35
2018-10-01,14
2018-11-01,46
2018-12-01,21
2019-01-01,31
2019-02-01,43
2019-03-01,70
2019-04-01,37
2019-05-01,42
2019-06-01,24
2019-07-01,28
2019-08-01,14
2019-09-01,14
2019-10-01,13
2019-11-01,10
2019-12-01,15
2020-01-01,23
2020-02-01,23
2020-03-01,23
2020-04-01,24
2020-05-01,31
2020-06-01,24
2020-07-01,20
2020-08-01,25
2020-09-01,26
2020-10-01,27
2020-11-01,28
2020-12-01,31
2021-01-01,63
2021-02-01,29
2021-03-01,44
2021-04-01,47
2021-05-01,37
2021-06-01,38
2021-07-01,25
2021-08-01,33
2021-09-01,27
2021-10-01,28
2021-11-01,27
2021-12-01,26
2022-01-01,43
2022-02-01,41
2022-03-01,30
2022-04-01,26
2022-05-01,36
2022-06-01,29
2022-07-01,26
2022-08-01,29
2022-09-01,39
2022-10-01,33
2022-11-01,44
2022-12-01,27
2023-01-01,46
2023-02-01,40
2023-03-01,43
2023-04-01,63
2023-05-01,38
2023-06-01,52
