year_month,count
2012-12-01,143
2013-01-01,4
2013-02-01,38
2013-03-01,39
2013-04-01,40
2013-05-01,23
2013-06-01,26
2013-07-01,34
2013-08-01,56
2013-09-01,41
2013-10-01,36
2013-11-01,30
2013-12-01,92
2014-01-01,47
2014-02-01,55
2014-03-01,73
2014-04-01,42
2014-05-01,61
2014-06-01,51
2014-07-01,58
2014-08-01,52
2014-09-01,66
2014-10-01,47
2014-11-01,53
2014-12-01,53
2015-01-01,87
2015-02-01,73
2015-03-01,81
2015-04-01,58
2015-05-01,59
2015-06-01,51
2015-07-01,34
2015-08-01,47
2015-09-01,69
2015-10-01,44
2015-11-01,45
2015-12-01,52
2016-01-01,43
2016-02-01,49
2016-03-01,51
2016-04-01,43
2016-05-01,46
2016-06-01,39
2016-07-01,48
2016-08-01,37
2016-09-01,51
2016-10-01,62
2016-11-01,40
2016-12-01,43
2017-01-01,34
2017-02-01,46
2017-03-01,60
2017-04-01,51
2017-05-01,48
2017-06-01,48
2017-07-01,45
2017-08-01,52
2017-09-01,42
2017-10-01,36
2017-11-01,43
2017-12-01,49
2018-01-01,35
2018-02-01,27
2018-03-01,35
2018-04-01,48
2018-05-01,52
2018-06-01,31
2018-07-01,43
2018-08-01,33
2018-09-01,24
2018-10-01,30
2018-11-01,31
2018-12-01,39
2019-01-01,42
2019-02-01,33
2019-03-01,33
2019-04-01,21
2019-05-01,42
2019-06-01,45
2019-07-01,26
2019-08-01,35
2019-09-01,32
2019-10-01,28
2019-11-01,26
2019-12-01,27
2020-01-01,29
2020-02-01,22
2020-03-01,22
2020-04-01,27
2020-05-01,21
2020-06-01,18
2020-07-01,28
2020-08-01,12
2020-09-01,16
2020-10-01,18
2020-11-01,14
2020-12-01,11
2021-01-01,16
2021-02-01,10
2021-03-01,15
2021-04-01,13
2021-05-01,18
2021-06-01,24
2021-07-01,16
2021-08-01,9
2021-09-01,22
2021-10-01,14
2021-11-01,13
2021-12-01,19
2022-01-01,20
2022-02-01,18
2022-03-01,8
2022-04-01,22
2022-05-01,15
2022-06-01,19
2022-07-01,19
2022-08-01,17
2022-09-01,13
2022-10-01,11
2022-11-01,15
2022-12-01,19
2023-01-01,17
2023-02-01,18
2023-03-01,12
2023-04-01,20
2023-05-01,19
2023-06-01,18
